# Error in mu 0.20
# z   mu
0.062 34.237
0.030 34.604
0.070 34.467
0.046 34.584
0.024 34.499
0.032 34.948
0.006 34.799
0.063 35.363
0.044 35.415
0.014 35.042
0.059 34.846
0.064 35.483
0.006 35.644
0.088 35.572
0.008 35.569
0.048 36.004
0.090 35.947
0.065 36.158
0.077 36.254
0.028 35.843
0.090 36.249
0.020 36.204
0.041 36.535
0.010 36.887
0.084 36.611
0.038 36.532
0.040 36.363
0.072 36.179
0.014 36.517
0.120 36.109
0.087 36.575
0.056 36.871
0.034 36.446
0.086 36.964
0.098 36.656
0.088 36.678
0.025 36.933
0.094 36.526
0.092 37.008
0.063 36.958
0.039 36.850
0.036 37.001
0.038 36.870
0.076 37.388
0.030 36.821
0.039 37.451
0.131 37.471
0.042 36.916
0.050 37.431
0.033 37.588
0.001 37.198
0.089 37.528
0.038 37.370
0.055 37.467
0.111 37.115
0.071 37.331
0.063 37.525
0.118 37.638
0.081 37.626
0.052 37.649
0.136 37.083
0.063 37.443
0.078 37.796
0.077 37.423
0.114 37.657
0.075 37.571
0.130 37.890
0.128 37.722
0.051 37.829
0.119 37.705
0.133 37.759
0.040 38.294
0.182 38.189
0.050 38.146
0.050 37.573
0.119 38.073
0.069 38.012
0.080 37.519
0.140 38.040
0.142 37.857
0.124 37.939
0.032 38.197
0.124 37.887
0.030 38.094
0.124 38.230
0.183 38.278
0.094 38.264
0.091 38.144
0.118 38.136
0.129 38.301
0.163 38.366
0.142 38.479
0.062 38.293
0.110 38.214
0.130 38.336
0.052 38.592
0.053 38.334
0.077 38.533
0.087 38.350
0.146 38.311
0.129 38.195
0.117 38.686
0.153 38.685
0.152 38.726
0.032 38.473
0.157 38.815
0.141 38.753
0.102 38.753
0.116 38.523
0.221 38.732
0.132 38.805
0.112 38.819
0.125 39.041
0.089 38.863
0.190 38.873
0.159 38.884
0.110 38.724
0.199 39.046
0.107 38.970
0.173 38.994
0.127 38.643
0.149 38.830
0.111 39.070
0.040 38.817
0.178 39.268
0.117 38.964
0.199 39.079
0.086 39.076
0.153 39.031
0.094 38.923
0.124 38.730
0.146 38.940
0.159 38.983
0.231 39.480
0.126 38.931
0.157 39.087
0.213 39.282
0.171 39.460
0.134 39.367
0.154 39.388
0.123 39.613
0.147 39.293
0.198 39.262
0.187 39.559
0.066 38.951
0.116 39.342
0.123 39.671
0.215 39.049
0.054 39.407
0.236 39.568
0.203 39.534
0.119 39.751
0.163 39.793
0.200 39.344
0.181 39.528
0.244 39.107
0.222 39.555
0.216 39.339
0.203 39.534
0.180 39.460
0.123 39.672
0.204 39.768
0.184 39.911
0.183 39.754
0.202 39.491
0.211 39.710
0.130 39.709
0.115 39.497
0.143 39.466
0.145 39.677
0.200 39.561
0.221 39.660
0.201 39.427
0.173 39.824
0.158 39.926
0.164 40.143
0.218 39.659
0.156 39.844
0.154 39.806
0.199 40.395
0.209 39.760
0.183 40.164
0.168 39.859
0.270 40.191
0.202 40.332
0.158 40.102
0.148 40.028
0.241 39.814
0.292 39.894
0.232 40.123
0.211 40.080
0.149 40.326
0.241 39.929
0.200 39.651
0.264 39.837
0.222 39.805
0.156 40.265
0.265 39.711
0.160 40.031
0.257 39.951
0.198 39.992
0.160 40.201
0.214 39.990
0.149 39.566
0.388 40.267
0.192 39.718
0.206 40.148
0.212 40.203
0.188 39.963
0.251 40.296
0.235 40.273
0.258 40.476
0.203 40.094
0.217 40.173
0.183 40.272
0.205 40.254
0.170 40.126
0.272 40.450
0.153 40.182
0.176 40.722
0.218 40.355
0.185 39.999
0.326 40.356
0.229 40.597
0.229 40.283
0.241 40.457
0.265 40.531
0.121 40.253
0.197 40.728
0.285 40.444
0.262 40.490
0.194 40.638
0.234 40.454
0.184 40.208
0.288 40.508
0.174 40.352
0.196 40.499
0.221 40.408
0.260 40.650
0.213 40.305
0.330 40.205
0.322 40.544
0.236 40.483
0.261 40.482
0.211 40.538
0.272 40.489
0.239 40.481
0.207 40.720
0.217 40.666
0.208 40.443
0.256 40.613
0.266 40.933
0.298 40.502
0.270 40.612
0.320 40.353
0.165 40.693
0.255 40.603
0.336 40.893
0.201 40.904
0.301 40.843
0.285 40.933
0.334 40.756
0.230 40.898
0.295 40.932
0.271 41.046
0.284 40.788
0.207 40.802
0.319 41.097
0.343 40.956
0.261 40.853
0.136 40.657
0.254 40.573
0.286 41.103
0.231 41.008
0.271 40.807
0.350 40.734
0.308 41.220
0.318 40.810
0.264 40.803
0.236 40.990
0.324 40.994
0.237 41.040
0.207 40.803
0.244 40.725
0.286 40.948
0.245 40.956
0.298 40.762
0.267 41.108
0.296 40.460
0.239 40.708
0.241 41.445
0.285 40.797
0.253 40.928
0.318 41.120
0.278 40.976
0.378 40.850
0.358 40.944
0.372 40.869
0.251 40.817
0.257 41.360
0.198 41.026
0.355 41.194
0.320 40.968
0.319 41.203
0.345 41.324
0.275 41.320
0.310 41.328
0.262 40.772
0.345 40.602
0.222 41.438
0.400 41.047
0.326 41.201
0.356 41.083
0.324 41.020
0.383 41.366
0.419 41.347
0.260 41.267
0.351 41.134
0.261 41.107
0.346 41.137
0.409 41.058
0.325 41.325
0.254 41.378
0.359 41.097
0.362 41.320
0.355 41.351
0.467 41.113
0.279 41.052
0.383 40.984
0.283 40.970
0.281 41.170
0.368 41.041
0.333 41.117
0.348 41.889
0.362 41.234
0.292 41.031
0.285 41.264
0.270 41.556
0.235 41.405
0.328 41.196
0.365 41.278
0.327 41.176
0.356 41.594
0.383 41.313
0.327 41.165
0.415 41.151
0.309 41.279
0.338 41.535
0.344 41.270
0.350 41.131
0.337 41.251
0.342 41.769
0.346 41.533
0.363 41.547
0.347 41.401
0.328 41.574
0.336 41.211
0.411 41.444
0.374 41.034
0.399 41.530
0.416 41.158
