# Error in mu 0.20
# z   z2   mu
0.015 0.015 34.237
0.017 0.017 34.604
0.018 0.018 34.467
0.019 0.019 34.584
0.020 0.020 34.499
0.021 0.021 34.948
0.022 0.022 34.799
0.024 0.024 35.363
0.025 0.025 35.415
0.025 0.025 35.042
0.026 0.026 34.846
0.027 0.027 35.483
0.029 0.029 35.644
0.029 0.029 35.572
0.029 0.029 35.569
0.031 0.031 36.004
0.035 0.035 35.947
0.035 0.035 36.158
0.036 0.036 36.254
0.037 0.037 35.843
0.040 0.040 36.249
0.041 0.041 36.204
0.041 0.041 36.535
0.042 0.042 36.887
0.042 0.042 36.611
0.042 0.042 36.532
0.042 0.042 36.363
0.043 0.043 36.179
0.044 0.044 36.517
0.045 0.045 36.109
0.045 0.045 36.575
0.047 0.047 36.871
0.047 0.047 36.446
0.049 0.049 36.964
0.049 0.049 36.656
0.049 0.049 36.678
0.050 0.050 36.933
0.051 0.051 36.526
0.053 0.053 37.008
0.054 0.054 36.958
0.055 0.055 36.850
0.058 0.058 37.001
0.059 0.059 36.870
0.060 0.060 37.388
0.060 0.060 36.821
0.062 0.062 37.451
0.062 0.062 37.471
0.063 0.063 36.916
0.064 0.064 37.431
0.064 0.064 37.588
0.064 0.064 37.198
0.065 0.065 37.528
0.065 0.065 37.370
0.065 0.065 37.467
0.068 0.068 37.115
0.069 0.069 37.331
0.072 0.072 37.525
0.072 0.072 37.638
0.072 0.072 37.626
0.072 0.072 37.649
0.073 0.073 37.083
0.073 0.073 37.443
0.074 0.074 37.796
0.074 0.074 37.423
0.075 0.075 37.657
0.075 0.075 37.571
0.075 0.075 37.890
0.076 0.076 37.722
0.077 0.077 37.829
0.078 0.078 37.705
0.079 0.079 37.759
0.080 0.080 38.294
0.080 0.080 38.189
0.081 0.081 38.146
0.081 0.081 37.573
0.082 0.082 38.073
0.082 0.082 38.012
0.083 0.083 37.519
0.083 0.083 38.040
0.084 0.084 37.857
0.085 0.085 37.939
0.087 0.087 38.197
0.088 0.088 37.887
0.089 0.089 38.094
0.090 0.090 38.230
0.093 0.093 38.278
0.094 0.094 38.264
0.095 0.095 38.144
0.097 0.097 38.136
0.097 0.097 38.301
0.097 0.097 38.366
0.097 0.097 38.479
0.097 0.097 38.293
0.099 0.099 38.214
0.099 0.099 38.336
0.100 0.100 38.592
0.100 0.100 38.334
0.101 0.195 38.533
0.102 0.067 38.350
0.104 0.157 38.311
0.105 0.004 38.195
0.106 0.085 38.686
0.110 0.035 38.685
0.112 0.119 38.726
0.112 0.109 38.473
0.112 0.131 38.815
0.113 0.056 38.753
0.113 0.034 38.753
0.113 0.001 38.523
0.117 0.217 38.732
0.136 0.120 38.805
0.120 0.082 38.819
0.121 0.102 39.041
0.234 0.121 38.863
0.121 0.065 38.873
0.122 0.253 38.884
0.123 0.182 38.724
0.123 0.021 39.046
0.123 0.102 38.970
0.124 0.315 38.994
0.127 0.086 38.643
0.127 0.135 38.830
0.128 0.111 39.070
0.128 0.129 38.817
0.128 0.071 39.268
0.129 0.275 38.964
0.130 0.139 39.079
0.132 0.075 39.076
0.134 0.054 39.031
0.134 0.172 38.923
0.136 0.089 38.730
0.115 0.136 38.940
0.137 0.223 38.983
0.139 0.119 39.480
0.140 0.052 38.931
0.141 0.178 39.087
0.142 0.186 39.282
0.143 0.131 39.460
