# Photo-z error: 0.04 *(1+z)
# Error in mu 0.20
# z_true z_obs mu_obs
0.023 0.068 35.048
0.032 0.077 36.056
0.034 0.057 35.670
0.036 0.116 36.283
0.036 0.043 36.092
0.041 0.100 36.434
0.044 0.132 36.302
0.046 0.050 36.495
0.046 0.042 36.880
0.049 0.136 37.092
0.052 0.065 36.920
0.053 0.078 36.866
0.054 0.039 36.808
0.056 0.150 37.260
0.058 0.060 37.171
0.061 0.088 37.363
0.061 0.065 37.590
0.065 0.121 37.478
0.066 0.033 37.775
0.067 0.028 37.479
0.067 0.031 37.748
0.068 0.026 37.611
0.070 0.047 37.298
0.070 0.069 37.615
0.071 0.066 37.255
0.074 0.067 37.713
0.078 0.115 38.038
0.082 0.015 37.585
0.085 0.152 37.748
0.093 0.089 38.619
0.093 0.050 38.252
0.095 0.054 38.510
0.096 0.023 38.025
0.097 0.103 38.394
0.099 0.102 38.435
0.101 0.090 38.312
0.101 0.118 38.556
0.106 0.183 38.664
0.106 0.163 38.258
0.108 0.112 38.710
0.108 0.054 38.157
0.109 0.085 38.228
0.110 0.165 38.677
0.112 0.066 38.569
0.112 0.123 38.599
0.113 0.090 38.740
0.114 0.101 38.523
0.115 0.081 38.736
0.116 0.163 38.690
0.120 0.116 38.631
0.121 0.145 38.698
0.121 0.082 38.982
0.123 0.111 39.159
0.123 0.237 38.868
0.124 0.171 38.933
0.124 0.090 38.709
0.126 0.151 38.895
0.127 0.068 38.487
0.128 0.134 39.028
0.132 0.083 39.131
0.138 0.099 39.123
0.141 0.139 38.925
0.142 0.158 39.345
0.143 0.159 39.042
0.144 0.127 38.922
0.145 0.111 39.004
0.146 0.145 39.038
0.146 0.047 39.556
0.147 0.207 38.946
0.154 0.114 39.448
0.154 0.199 39.634
0.154 0.189 39.236
0.157 0.149 39.131
0.157 0.180 39.488
0.158 0.122 39.594
0.158 0.187 39.793
0.158 0.200 39.495
0.160 0.125 39.415
0.161 0.275 39.324
0.161 0.130 39.350
0.161 0.173 38.963
0.163 0.148 39.368
0.163 0.169 39.528
0.164 0.118 39.426
0.165 0.114 39.821
0.166 0.223 39.893
0.166 0.262 39.247
0.167 0.164 39.752
0.169 0.195 39.319
0.169 0.189 39.663
0.170 0.216 39.845
0.172 0.202 39.725
0.172 0.233 40.081
0.173 0.136 39.751
0.174 0.284 39.342
0.175 0.279 40.003
0.175 0.226 39.635
0.175 0.159 39.668
0.176 0.210 39.751
0.177 0.147 39.367
0.179 0.228 39.713
0.180 0.171 39.807
0.180 0.192 39.505
0.180 0.136 39.689
0.186 0.281 40.138
0.187 0.139 39.777
0.187 0.229 39.391
0.187 0.092 39.940
0.188 0.236 39.893
0.189 0.097 39.970
0.190 0.167 39.891
0.191 0.179 39.945
0.192 0.183 39.560
0.192 0.167 39.892
0.193 0.177 39.957
0.194 0.190 39.642
0.196 0.204 39.800
0.196 0.175 39.741
0.197 0.134 40.275
0.199 0.235 39.787
0.200 0.182 39.883
0.200 0.100 39.797
0.202 0.283 39.976
0.203 0.193 40.064
0.204 0.189 40.015
0.204 0.277 39.745
0.205 0.178 40.086
0.207 0.308 39.969
0.208 0.236 40.155
0.209 0.261 40.136
0.209 0.198 39.950
0.212 0.205 40.093
0.212 0.142 39.889
0.213 0.290 40.161
0.213 0.188 40.197
0.214 0.292 39.758
0.216 0.247 40.146
0.216 0.242 40.040
0.217 0.172 40.496
0.217 0.151 40.014
0.218 0.243 40.381
0.218 0.128 39.974
0.219 0.159 40.186
0.220 0.207 39.934
0.222 0.202 40.426
0.224 0.169 40.272
0.225 0.292 40.056
0.227 0.206 40.256
0.228 0.188 40.084
0.230 0.249 40.181
0.231 0.229 40.561
0.232 0.306 40.209
0.233 0.202 40.448
0.233 0.227 40.503
0.235 0.221 40.711
0.236 0.195 40.350
0.236 0.227 40.407
0.239 0.293 40.179
0.239 0.225 40.176
0.239 0.215 40.597
0.240 0.236 40.704
0.240 0.273 40.549
0.241 0.325 40.327
0.242 0.331 40.511
0.242 0.275 40.546
0.242 0.196 40.227
0.244 0.211 40.542
0.244 0.250 40.820
0.245 0.201 40.442
0.246 0.237 40.678
0.247 0.346 40.837
0.247 0.183 40.500
0.248 0.256 40.993
0.249 0.191 40.326
0.251 0.234 40.682
0.251 0.271 40.854
0.252 0.352 40.714
0.253 0.243 40.735
0.254 0.242 40.684
0.254 0.280 40.490
0.255 0.150 40.595
0.255 0.290 41.083
0.256 0.193 41.042
0.258 0.209 40.354
0.258 0.252 40.152
0.259 0.302 40.589
0.259 0.273 41.182
0.259 0.242 40.746
0.261 0.241 40.740
0.262 0.193 40.625
0.264 0.261 41.064
0.264 0.240 40.533
0.265 0.253 40.463
0.267 0.296 40.676
0.267 0.324 40.636
0.268 0.342 40.334
0.269 0.324 40.429
0.270 0.241 40.827
0.270 0.186 40.783
0.272 0.336 41.021
0.274 0.267 40.607
0.275 0.260 40.636
0.277 0.171 40.518
0.277 0.280 40.912
0.278 0.375 41.112
0.279 0.189 40.613
0.279 0.257 41.014
0.279 0.314 40.672
0.280 0.198 40.602
0.280 0.338 41.138
0.281 0.330 40.877
0.281 0.267 40.671
0.282 0.296 40.805
0.282 0.271 40.927
0.283 0.347 40.795
0.284 0.248 40.980
0.285 0.255 41.121
0.285 0.252 40.644
0.286 0.257 41.131
0.287 0.225 41.082
0.287 0.319 41.240
0.287 0.276 40.749
0.289 0.334 40.777
0.292 0.268 41.163
0.292 0.328 41.170
0.296 0.280 41.195
0.297 0.337 41.155
0.298 0.333 41.135
0.298 0.254 41.104
0.298 0.324 40.824
0.299 0.271 40.846
0.299 0.345 41.186
0.300 0.279 41.198
0.300 0.398 40.962
0.301 0.365 41.019
0.301 0.322 41.144
0.302 0.310 41.052
0.303 0.299 41.344
0.303 0.237 40.972
0.304 0.266 41.515
0.304 0.367 41.005
0.305 0.301 41.392
0.307 0.430 41.197
0.310 0.223 40.895
0.310 0.289 41.354
0.311 0.338 41.253
0.312 0.231 41.145
0.313 0.371 41.179
0.313 0.336 41.033
0.314 0.358 41.331
0.314 0.353 41.010
0.314 0.330 41.229
0.314 0.312 41.167
0.315 0.347 41.297
0.315 0.321 40.718
0.315 0.324 41.180
0.317 0.325 41.214
0.317 0.324 41.226
0.317 0.243 40.938
0.317 0.383 41.028
0.317 0.408 40.932
0.318 0.309 41.035
0.321 0.367 41.059
0.322 0.350 41.365
0.322 0.346 40.885
0.323 0.369 40.866
0.323 0.355 41.098
0.323 0.424 41.048
0.323 0.340 41.004
0.324 0.286 41.313
0.324 0.296 41.471
0.325 0.359 41.445
0.326 0.314 41.412
0.326 0.248 41.550
0.327 0.287 41.435
0.328 0.354 41.374
0.330 0.220 41.329
0.330 0.320 41.176
0.331 0.289 41.550
0.331 0.324 41.349
0.331 0.315 41.178
0.331 0.285 41.353
0.331 0.371 41.326
0.332 0.307 41.517
0.333 0.384 41.189
0.334 0.319 41.287
0.335 0.367 41.273
0.337 0.381 41.212
0.337 0.308 41.283
0.339 0.313 41.340
0.340 0.411 41.380
0.340 0.364 41.273
0.342 0.361 41.306
0.343 0.315 41.045
0.343 0.349 41.459
0.344 0.253 41.143
0.345 0.349 41.064
0.347 0.324 41.753
0.348 0.395 41.098
0.350 0.295 41.178
0.350 0.286 41.253
0.351 0.272 41.268
0.352 0.400 41.484
0.352 0.342 41.348
0.353 0.356 41.604
0.354 0.366 41.220
0.355 0.342 41.188
0.355 0.272 41.274
0.355 0.353 41.333
0.355 0.472 41.578
0.357 0.337 41.435
0.357 0.398 41.658
0.357 0.304 41.834
0.358 0.338 41.351
0.358 0.372 41.617
0.359 0.395 41.173
0.359 0.305 41.239
0.361 0.402 41.764
0.363 0.315 41.315
0.365 0.354 41.580
0.366 0.506 41.580
0.366 0.313 41.379
0.367 0.371 41.176
0.371 0.360 41.671
0.372 0.319 41.614
0.374 0.335 41.550
0.377 0.294 41.429
0.378 0.453 41.465
0.381 0.353 41.601
0.383 0.327 41.692
0.386 0.381 41.636
0.386 0.467 41.408
0.386 0.358 41.705
0.387 0.368 41.905
0.388 0.343 41.619
0.390 0.360 41.644
0.390 0.346 41.823
0.393 0.376 41.627
0.394 0.354 41.516
0.394 0.478 41.947
0.394 0.349 41.732
0.394 0.468 41.775
0.396 0.341 41.746
0.396 0.337 41.897
0.400 0.396 41.708
0.400 0.378 41.613
0.401 0.478 41.579
0.401 0.398 41.493
0.403 0.415 41.637
0.404 0.452 41.554
0.405 0.480 42.320
0.406 0.423 41.761
0.407 0.329 41.755
0.408 0.340 42.076
0.408 0.461 41.770
0.409 0.408 41.881
0.410 0.415 41.575
0.410 0.404 41.551
0.411 0.473 41.828
0.411 0.437 41.547
0.412 0.422 41.920
0.414 0.372 42.014
0.414 0.312 41.628
0.414 0.444 41.527
0.414 0.367 42.117
0.416 0.337 41.899
0.416 0.380 41.950
0.417 0.423 41.786
0.418 0.362 41.987
0.418 0.428 41.915
0.421 0.424 41.636
0.422 0.523 41.795
0.423 0.428 41.832
0.423 0.331 42.054
0.424 0.453 41.888
0.424 0.399 42.121
0.425 0.324 41.923
0.425 0.534 42.066
0.425 0.404 41.820
0.425 0.399 42.350
0.426 0.517 41.659
0.426 0.503 41.565
0.426 0.409 42.363
0.426 0.385 41.706
0.427 0.459 41.969
0.428 0.400 41.601
0.428 0.263 42.016
0.428 0.357 41.714
0.430 0.558 42.145
0.431 0.517 41.947
0.431 0.392 42.236
0.431 0.355 41.845
0.432 0.511 42.343
0.432 0.454 42.172
0.433 0.451 41.981
0.433 0.404 42.051
0.433 0.331 41.918
0.433 0.480 41.814
0.435 0.436 42.107
0.436 0.460 42.304
0.437 0.414 42.308
0.437 0.451 41.794
0.437 0.473 42.106
0.441 0.426 42.012
0.442 0.479 42.108
0.443 0.346 41.825
0.444 0.402 41.959
0.444 0.485 41.923
0.444 0.535 41.841
0.444 0.425 41.873
0.445 0.491 42.052
0.446 0.514 42.434
0.446 0.511 41.783
0.447 0.548 42.080
0.449 0.483 42.208
0.449 0.515 42.081
0.450 0.462 42.104
0.450 0.468 42.025
0.452 0.430 42.063
0.453 0.499 42.022
0.455 0.505 41.850
0.455 0.477 41.647
0.456 0.478 41.831
0.457 0.443 42.090
0.459 0.534 41.960
0.460 0.478 42.444
0.461 0.458 41.903
0.461 0.366 41.986
0.461 0.411 42.231
0.462 0.447 41.652
0.465 0.591 42.191
0.465 0.435 42.185
0.466 0.436 42.211
0.468 0.499 42.566
0.468 0.459 42.230
0.468 0.456 42.766
0.468 0.524 42.075
0.469 0.528 42.074
0.469 0.458 42.043
0.470 0.492 42.379
0.470 0.548 42.049
0.471 0.462 42.502
0.474 0.461 41.773
0.474 0.430 41.941
0.477 0.467 42.190
0.477 0.488 41.989
0.481 0.494 42.253
0.481 0.522 42.711
0.482 0.501 42.292
0.482 0.514 42.187
0.482 0.448 42.329
0.482 0.474 42.189
0.483 0.519 42.565
0.483 0.440 42.348
0.484 0.445 42.234
0.484 0.430 42.165
0.485 0.487 42.250
0.486 0.535 42.203
0.486 0.474 42.503
0.487 0.463 42.249
0.487 0.542 42.170
0.487 0.508 42.408
0.489 0.538 42.281
0.490 0.469 42.118
0.490 0.478 42.490
0.491 0.517 42.795
0.491 0.590 42.118
0.491 0.445 42.184
0.492 0.377 42.358
0.492 0.454 42.438
0.494 0.594 42.241
0.494 0.463 42.680
0.494 0.450 41.992
0.495 0.544 42.240
0.495 0.385 42.517
0.496 0.523 42.149
0.500 0.569 42.286
0.500 0.445 42.576
0.500 0.500 42.526
0.501 0.511 41.994
0.503 0.612 42.462
0.503 0.566 42.214
0.504 0.519 42.515
0.504 0.371 42.449
0.505 0.373 42.645
0.505 0.502 42.632
0.506 0.497 42.367
0.506 0.583 42.617
0.506 0.560 42.762
0.506 0.557 42.512
0.507 0.447 42.758
0.507 0.570 42.636
0.507 0.554 42.489
0.508 0.563 42.490
0.510 0.458 42.437
0.514 0.416 42.145
0.515 0.522 42.377
0.515 0.436 42.521
0.516 0.540 42.526
0.518 0.592 42.459
0.519 0.468 42.176
0.520 0.601 42.455
0.521 0.419 42.262
0.522 0.674 42.285
0.522 0.459 42.643
0.524 0.643 42.565
0.527 0.544 42.460
0.527 0.614 42.084
0.528 0.473 43.036
0.529 0.537 42.481
0.530 0.525 42.132
0.530 0.587 42.500
0.531 0.422 42.910
0.532 0.478 42.590
0.532 0.587 42.142
0.535 0.509 42.432
0.535 0.566 42.585
0.536 0.622 42.288
0.536 0.635 42.403
0.537 0.570 42.417
0.538 0.522 42.696
0.539 0.670 42.583
0.541 0.472 42.509
0.542 0.433 42.614
0.542 0.574 42.892
0.544 0.504 42.617
0.545 0.525 42.576
0.546 0.635 42.362
0.547 0.607 42.544
0.547 0.478 42.331
0.550 0.509 42.533
0.553 0.626 42.810
0.553 0.563 42.472
0.554 0.613 42.611
0.556 0.578 42.786
0.557 0.639 42.733
0.557 0.584 42.668
0.559 0.543 42.527
0.560 0.483 42.457
0.562 0.606 42.335
0.564 0.542 42.683
0.565 0.620 42.668
0.566 0.577 42.721
0.567 0.604 42.414
0.567 0.589 42.372
0.568 0.477 42.689
0.571 0.589 43.080
0.572 0.639 42.953
0.573 0.592 42.601
0.574 0.397 42.687
0.574 0.566 42.646
0.575 0.517 42.510
0.576 0.471 42.911
0.576 0.653 42.511
0.577 0.592 42.776
0.577 0.629 42.988
0.578 0.560 42.419
0.578 0.571 42.466
0.579 0.676 42.630
0.580 0.542 42.484
0.581 0.640 42.631
0.581 0.602 42.691
0.582 0.577 42.447
0.583 0.589 42.536
0.584 0.711 43.004
0.586 0.591 42.597
0.586 0.598 42.813
