# Error in z 0.04
# Error in mu 0.20 for Ia and 1.50 for nonaIa
# Type=1 for Ia, 0 otherwise
# z  z_shifted   mu_t   mu_o   type
0.016 0.009 34.267 34.630 1
0.017 0.123 34.351 34.050 1
0.017 0.025 34.376 34.604 1
0.017 0.013 34.423 34.381 1
0.017 0.058 34.424 34.365 1
0.020 0.038 34.776 37.060 0
0.020 0.060 34.793 36.191 0
0.021 0.015 34.910 37.341 0
0.022 0.084 34.937 37.521 0
0.023 0.047 35.044 36.041 0
0.024 0.003 35.180 36.907 0
0.024 0.043 35.186 38.815 0
0.025 0.036 35.219 37.755 0
0.025 0.016 35.242 36.203 0
0.026 0.049 35.308 35.495 1
0.026 0.060 35.313 38.914 0
0.026 0.036 35.376 36.897 0
0.029 0.058 35.560 36.048 1
0.029 0.031 35.610 36.880 0
0.031 0.072 35.709 37.430 0
0.033 0.034 35.900 36.940 0
0.034 0.034 35.975 35.992 1
0.035 0.044 36.030 36.846 0
0.039 0.034 36.227 39.153 0
0.039 0.069 36.230 37.886 0
0.039 0.009 36.268 38.086 0
0.039 0.065 36.277 40.142 0
0.040 0.122 36.306 38.062 0
0.041 0.051 36.335 39.179 0
0.045 0.051 36.579 38.835 0
0.046 0.046 36.599 41.288 0
0.051 0.095 36.845 37.549 0
0.051 0.105 36.845 39.555 0
0.052 0.125 36.877 37.685 0
0.056 0.029 37.058 37.052 1
0.057 0.022 37.108 36.841 1
0.057 0.073 37.110 39.244 0
0.058 0.081 37.142 41.745 0
0.058 0.056 37.148 38.177 0
0.059 0.097 37.171 40.188 0
0.059 0.064 37.189 40.024 0
0.060 0.078 37.206 41.006 0
0.060 0.076 37.213 36.359 0
0.061 0.132 37.246 37.103 1
0.061 0.016 37.268 37.410 1
0.062 0.058 37.288 40.277 0
0.063 0.115 37.320 38.841 0
0.064 0.052 37.362 38.947 0
0.064 0.063 37.374 37.200 1
0.065 0.062 37.397 37.503 1
0.066 0.098 37.416 37.275 1
0.066 0.043 37.439 40.964 0
0.068 0.053 37.495 37.417 1
0.069 0.051 37.547 41.722 0
0.071 0.022 37.583 41.350 0
0.072 0.089 37.623 37.790 1
0.072 0.080 37.626 38.191 0
0.074 0.079 37.703 43.627 0
0.075 0.139 37.719 40.345 0
0.076 0.081 37.743 38.189 1
0.076 0.105 37.746 40.119 0
0.076 0.073 37.762 42.551 0
0.077 0.100 37.787 37.817 1
0.078 0.085 37.801 37.851 1
0.078 0.146 37.811 37.685 1
0.078 0.038 37.820 37.785 1
0.081 0.103 37.903 41.995 0
0.083 0.057 37.951 39.333 0
0.085 0.085 38.009 40.559 0
0.087 0.125 38.064 40.541 0
0.088 0.142 38.078 41.550 0
0.088 0.108 38.102 38.318 1
0.089 0.068 38.103 37.991 1
0.090 0.087 38.142 38.220 0
0.090 0.086 38.152 37.929 1
0.091 0.023 38.177 39.245 0
0.092 0.094 38.204 39.194 0
0.093 0.100 38.208 39.998 0
0.093 0.086 38.216 38.326 1
0.093 0.091 38.218 41.819 0
0.095 0.071 38.271 38.450 1
0.097 0.172 38.323 38.447 1
0.098 0.106 38.348 39.418 0
0.098 0.143 38.348 39.354 0
0.099 0.105 38.357 43.223 0
0.099 0.108 38.362 40.701 0
0.100 0.059 38.389 44.247 0
0.103 0.100 38.463 40.151 0
0.104 0.026 38.470 38.346 1
0.104 0.104 38.478 40.905 0
0.105 0.045 38.497 40.668 0
0.106 0.088 38.511 42.319 0
0.106 0.067 38.514 38.775 0
0.107 0.224 38.533 37.991 0
0.107 0.194 38.534 38.779 1
0.108 0.117 38.555 39.631 0
0.108 0.149 38.557 38.483 1
0.108 0.173 38.563 39.504 0
0.109 0.109 38.589 38.628 1
0.110 0.059 38.611 38.967 0
0.110 0.123 38.614 40.743 0
0.112 0.072 38.639 40.179 0
0.112 0.097 38.640 40.861 0
0.113 0.135 38.668 39.021 0
0.113 0.115 38.674 39.813 0
0.114 0.132 38.682 40.459 0
0.115 0.091 38.702 38.780 0
0.115 0.172 38.712 43.137 0
0.116 0.088 38.729 39.791 0
0.117 0.153 38.750 38.713 1
0.118 0.130 38.760 41.562 0
0.119 0.139 38.793 42.788 0
0.120 0.150 38.811 40.470 0
0.120 0.118 38.815 42.087 0
