# acceptance rate 2.79
# Om   w   H0   log_like
0.300 -0.900 70.000 -1104.441
0.300 -0.900 70.000 -1104.441
0.238 -0.923 69.707 -514.227
0.275 -0.874 68.278 -500.299
0.200 -0.875 67.371 -253.036
0.200 -0.875 67.371 -253.036
0.200 -0.875 67.371 -253.036
0.200 -0.875 67.371 -253.036
0.200 -0.875 67.371 -253.036
0.200 -0.875 67.371 -253.036
0.200 -0.875 67.371 -253.036
0.200 -0.875 67.371 -253.036
0.200 -0.875 67.371 -253.036
0.200 -0.875 67.371 -253.036
0.200 -0.875 67.371 -253.036
0.200 -0.875 67.371 -253.036
0.200 -0.875 67.371 -253.036
0.200 -0.875 67.371 -253.036
0.200 -0.875 67.371 -253.036
0.200 -0.875 67.371 -253.036
0.200 -0.875 67.371 -253.036
0.200 -0.875 67.371 -253.036
0.175 -0.951 68.758 -248.420
0.175 -0.951 68.758 -248.420
0.175 -0.951 68.758 -248.420
0.175 -0.951 68.758 -248.420
0.175 -0.951 68.758 -248.420
0.175 -0.951 68.758 -248.420
0.175 -0.951 68.758 -248.420
0.175 -0.951 68.758 -248.420
0.175 -0.951 68.758 -248.420
0.175 -0.951 68.758 -248.420
0.190 -1.009 70.031 -247.195
0.190 -1.009 70.031 -247.195
0.190 -1.009 70.031 -247.195
0.190 -1.009 70.031 -247.195
0.190 -1.009 70.031 -247.195
0.190 -1.009 70.031 -247.195
0.190 -1.009 70.031 -247.195
0.190 -1.009 70.031 -247.195
0.190 -1.009 70.031 -247.195
0.190 -1.009 70.031 -247.195
0.163 -0.955 69.498 -237.346
0.163 -0.955 69.498 -237.346
0.163 -0.955 69.498 -237.346
0.163 -0.955 69.498 -237.346
0.163 -0.955 69.498 -237.346
0.163 -0.955 69.498 -237.346
0.163 -0.955 69.498 -237.346
0.163 -0.955 69.498 -237.346
0.163 -0.955 69.498 -237.346
0.163 -0.955 69.498 -237.346
0.091 -0.886 70.155 -232.237
0.091 -0.886 70.155 -232.237
0.091 -0.886 70.155 -232.237
0.091 -0.886 70.155 -232.237
0.091 -0.886 70.155 -232.237
0.091 -0.886 70.155 -232.237
0.091 -0.886 70.155 -232.237
0.091 -0.886 70.155 -232.237
0.091 -0.886 70.155 -232.237
0.091 -0.886 70.155 -232.237
0.091 -0.886 70.155 -232.237
0.091 -0.886 70.155 -232.237
0.091 -0.886 70.155 -232.237
0.091 -0.886 70.155 -232.237
0.091 -0.886 70.155 -232.237
0.091 -0.886 70.155 -232.237
0.091 -0.886 70.155 -232.237
0.122 -0.891 69.478 -235.653
0.107 -0.961 70.732 -235.224
0.107 -0.961 70.732 -235.224
0.107 -0.961 70.732 -235.224
0.107 -0.961 70.732 -235.224
0.107 -0.961 70.732 -235.224
0.107 -0.961 70.732 -235.224
0.107 -0.961 70.732 -235.224
0.107 -0.961 70.732 -235.224
0.107 -0.961 70.732 -235.224
0.107 -0.961 70.732 -235.224
0.107 -0.961 70.732 -235.224
0.107 -0.961 70.732 -235.224
0.107 -0.961 70.732 -235.224
0.107 -0.961 70.732 -235.224
0.131 -1.034 71.292 -233.252
