# acceptance rate 15.69
# Om   w   H0   chi2
0.331 -0.964 68.962 5.714e+02
0.331 -0.964 68.962 5.714e+02
0.331 -0.964 68.962 5.714e+02
0.331 -0.964 68.962 5.714e+02
0.280 -0.881 68.721 5.710e+02
0.280 -0.852 68.875 5.703e+02
0.280 -0.852 68.875 5.703e+02
0.280 -0.852 68.875 5.703e+02
0.280 -0.852 68.875 5.703e+02
0.280 -0.852 68.875 5.703e+02
0.280 -0.852 68.875 5.703e+02
0.280 -0.852 68.875 5.703e+02
0.280 -0.852 68.875 5.703e+02
0.280 -0.852 68.875 5.703e+02
0.280 -0.852 68.875 5.703e+02
0.237 -0.810 69.440 5.675e+02
0.237 -0.810 69.440 5.675e+02
0.237 -0.810 69.440 5.675e+02
0.237 -0.810 69.440 5.675e+02
0.237 -0.810 69.440 5.675e+02
0.224 -0.789 69.465 5.677e+02
0.224 -0.789 69.465 5.677e+02
0.224 -0.789 69.465 5.677e+02
0.224 -0.789 69.465 5.677e+02
0.224 -0.789 69.465 5.677e+02
0.224 -0.789 69.465 5.677e+02
0.224 -0.789 69.465 5.677e+02
0.224 -0.789 69.465 5.677e+02
0.224 -0.789 69.465 5.677e+02
0.224 -0.789 69.465 5.677e+02
0.224 -0.789 69.465 5.677e+02
0.224 -0.789 69.465 5.677e+02
0.224 -0.789 69.465 5.677e+02
0.224 -0.789 69.465 5.677e+02
0.224 -0.789 69.465 5.677e+02
0.224 -0.789 69.465 5.677e+02
0.224 -0.789 69.465 5.677e+02
0.224 -0.789 69.465 5.677e+02
0.224 -0.789 69.465 5.677e+02
0.246 -0.814 68.797 5.688e+02
0.246 -0.814 68.797 5.688e+02
0.246 -0.814 68.797 5.688e+02
0.246 -0.814 68.797 5.688e+02
0.246 -0.814 68.797 5.688e+02
0.257 -0.862 69.198 5.649e+02
0.257 -0.862 69.198 5.649e+02
0.257 -0.862 69.198 5.649e+02
0.257 -0.862 69.198 5.649e+02
0.257 -0.862 69.198 5.649e+02
0.257 -0.862 69.198 5.649e+02
0.257 -0.862 69.198 5.649e+02
0.285 -0.946 69.264 5.647e+02
0.285 -0.946 69.264 5.647e+02
0.285 -0.946 69.264 5.647e+02
0.285 -0.946 69.264 5.647e+02
0.285 -0.946 69.264 5.647e+02
0.295 -0.930 69.587 5.672e+02
0.295 -0.930 69.587 5.672e+02
0.295 -0.930 69.587 5.672e+02
0.309 -0.963 69.769 5.694e+02
0.253 -0.939 69.702 5.625e+02
0.228 -0.887 69.776 5.622e+02
0.202 -0.879 70.090 5.643e+02
0.202 -0.879 70.090 5.643e+02
0.202 -0.879 70.090 5.643e+02
0.202 -0.879 70.090 5.643e+02
0.214 -0.843 69.664 5.623e+02
0.214 -0.843 69.664 5.623e+02
0.214 -0.843 69.664 5.623e+02
0.214 -0.843 69.664 5.623e+02
0.214 -0.843 69.664 5.623e+02
0.214 -0.843 69.664 5.623e+02
0.214 -0.843 69.664 5.623e+02
0.214 -0.843 69.664 5.623e+02
0.214 -0.843 69.664 5.623e+02
0.214 -0.843 69.664 5.623e+02
0.214 -0.843 69.664 5.623e+02
0.214 -0.843 69.664 5.623e+02
0.214 -0.843 69.664 5.623e+02
0.210 -0.870 69.671 5.639e+02
0.210 -0.870 69.671 5.639e+02
0.210 -0.870 69.671 5.639e+02
0.210 -0.870 69.671 5.639e+02
0.210 -0.870 69.671 5.639e+02
0.244 -0.817 69.278 5.668e+02
0.244 -0.817 69.278 5.668e+02
0.244 -0.817 69.278 5.668e+02
0.244 -0.817 69.278 5.668e+02
0.224 -0.877 69.657 5.626e+02
0.224 -0.877 69.657 5.626e+02
0.224 -0.877 69.657 5.626e+02
0.224 -0.877 69.657 5.626e+02
0.224 -0.877 69.657 5.626e+02
0.255 -0.914 69.622 5.622e+02
0.255 -0.914 69.622 5.622e+02
0.255 -0.914 69.622 5.622e+02
0.255 -0.914 69.622 5.622e+02
0.255 -0.914 69.622 5.622e+02
0.255 -0.914 69.622 5.622e+02
0.255 -0.914 69.622 5.622e+02
0.255 -0.914 69.622 5.622e+02
0.255 -0.914 69.622 5.622e+02
0.255 -0.914 69.622 5.622e+02
0.255 -0.914 69.622 5.622e+02
0.255 -0.914 69.622 5.622e+02
0.255 -0.914 69.622 5.622e+02
0.255 -0.914 69.622 5.622e+02
0.255 -0.914 69.622 5.622e+02
0.255 -0.914 69.622 5.622e+02
0.235 -0.843 69.525 5.635e+02
0.235 -0.843 69.525 5.635e+02
0.235 -0.843 69.525 5.635e+02
0.226 -0.836 69.491 5.630e+02
0.226 -0.836 69.491 5.630e+02
0.242 -0.965 69.927 5.650e+02
0.242 -0.965 69.927 5.650e+02
0.242 -0.965 69.927 5.650e+02
0.256 -0.940 69.534 5.637e+02
0.256 -0.940 69.534 5.637e+02
0.256 -0.940 69.534 5.637e+02
0.244 -0.919 69.916 5.621e+02
0.244 -0.919 69.916 5.621e+02
0.231 -0.904 69.974 5.625e+02
0.231 -0.904 69.974 5.625e+02
0.231 -0.904 69.974 5.625e+02
0.231 -0.904 69.974 5.625e+02
0.228 -0.839 69.682 5.639e+02
0.228 -0.839 69.682 5.639e+02
0.228 -0.839 69.682 5.639e+02
0.201 -0.844 69.769 5.628e+02
0.201 -0.844 69.769 5.628e+02
0.201 -0.844 69.769 5.628e+02
0.234 -0.861 69.762 5.633e+02
0.234 -0.861 69.762 5.633e+02
0.234 -0.861 69.762 5.633e+02
0.187 -0.813 69.636 5.630e+02
0.187 -0.813 69.636 5.630e+02
0.187 -0.813 69.636 5.630e+02
0.187 -0.813 69.636 5.630e+02
0.187 -0.813 69.636 5.630e+02
0.187 -0.813 69.636 5.630e+02
0.187 -0.813 69.636 5.630e+02
0.236 -0.875 70.039 5.654e+02
0.226 -0.875 69.511 5.632e+02
0.226 -0.875 69.511 5.632e+02
0.226 -0.875 69.511 5.632e+02
0.226 -0.875 69.511 5.632e+02
0.226 -0.875 69.511 5.632e+02
0.230 -0.915 69.922 5.629e+02
0.280 -0.967 69.616 5.624e+02
0.280 -0.967 69.616 5.624e+02
0.292 -1.058 69.934 5.630e+02
0.292 -1.058 69.934 5.630e+02
0.292 -1.058 69.934 5.630e+02
