# Error in mu 0.20
# z   z2   mu
0.015 0.015 34.137
0.016 0.016 34.541
0.018 0.018 34.448
0.018 0.018 35.353
0.020 0.020 34.653
0.020 0.020 35.076
0.021 0.021 34.780
0.023 0.023 35.304
0.023 0.023 35.138
0.023 0.023 35.063
0.023 0.023 35.232
0.024 0.024 35.186
0.025 0.025 35.119
0.026 0.026 35.254
0.026 0.026 35.171
0.026 0.026 35.208
0.026 0.026 35.239
0.028 0.028 35.429
0.029 0.029 35.710
0.029 0.029 35.642
0.030 0.030 35.541
0.031 0.031 35.696
0.032 0.032 35.879
0.032 0.032 35.693
0.034 0.034 35.561
0.034 0.034 35.772
0.034 0.034 35.760
0.034 0.034 35.797
0.035 0.035 36.230
0.035 0.035 35.614
0.036 0.036 36.149
0.036 0.036 35.969
0.041 0.041 36.520
0.041 0.041 36.259
0.042 0.042 36.327
0.043 0.043 36.649
0.043 0.043 36.141
0.043 0.043 36.186
0.044 0.044 36.404
0.046 0.046 36.416
0.047 0.047 36.743
0.047 0.047 36.692
0.048 0.048 36.179
0.049 0.049 36.862
0.049 0.049 36.544
0.051 0.051 36.895
0.052 0.052 36.903
0.052 0.052 36.746
0.052 0.052 36.871
0.053 0.053 37.005
0.056 0.056 36.748
0.056 0.056 37.154
0.057 0.057 37.119
0.063 0.063 37.273
0.063 0.063 37.060
0.063 0.063 37.734
0.066 0.066 37.579
0.067 0.067 37.468
0.068 0.068 37.265
0.070 0.070 37.604
0.070 0.070 37.655
0.072 0.072 37.806
0.073 0.073 37.868
0.073 0.073 37.687
0.074 0.074 37.654
0.074 0.074 37.960
0.077 0.077 37.716
0.079 0.079 37.678
0.080 0.080 38.031
0.080 0.080 37.948
0.081 0.081 38.013
0.082 0.082 37.859
0.083 0.083 38.181
0.083 0.083 38.258
0.084 0.084 38.359
0.084 0.084 38.085
0.086 0.086 37.889
0.086 0.086 37.858
0.087 0.087 37.825
0.088 0.088 38.175
0.090 0.090 37.722
0.091 0.091 38.407
0.091 0.091 38.390
0.092 0.092 37.928
0.093 0.093 38.314
0.093 0.093 38.348
0.094 0.094 38.204
0.094 0.094 38.300
0.095 0.095 38.204
0.095 0.095 38.241
0.098 0.098 38.215
0.099 0.099 38.277
0.099 0.099 38.263
0.100 0.100 37.939
0.100 0.019 38.498
0.101 0.297 38.699
0.102 0.055 38.529
0.103 0.099 38.199
0.104 0.130 38.340
0.104 0.247 38.293
0.105 0.198 38.831
0.106 0.136 38.157
0.106 0.232 38.260
0.108 0.065 38.629
0.110 0.052 38.787
0.380 0.110 38.956
0.110 0.218 38.618
0.111 0.074 38.640
0.111 0.100 38.456
0.111 0.178 38.753
0.113 0.028 38.712
0.113 0.134 38.334
0.113 0.203 38.349
0.114 0.011 39.071
0.114 0.173 38.930
0.114 0.066 38.868
0.115 0.077 38.640
0.116 0.007 38.929
0.117 0.252 38.967
0.119 0.046 38.673
0.122 0.223 38.904
0.125 0.038 38.824
0.125 0.161 38.783
0.126 0.071 38.819
0.126 0.031 38.827
0.127 0.075 39.140
0.128 0.117 38.855
0.128 0.198 39.430
0.129 0.100 38.956
0.129 0.293 38.756
0.143 0.129 38.784
0.140 0.129 38.822
0.131 0.132 38.978
0.132 0.031 39.200
0.133 0.022 39.174
0.134 0.275 38.938
0.137 0.285 39.117
0.137 0.185 38.796
0.139 0.212 39.346
0.140 0.143 38.923
0.174 0.140 38.947
0.143 0.186 39.406
0.143 0.203 38.908
0.143 0.283 39.496
0.062 0.146 39.438
0.146 0.151 38.967
0.152 0.053 39.311
0.153 0.021 39.350
0.069 0.154 39.524
0.155 0.050 39.253
0.156 0.217 39.398
0.156 0.297 39.181
0.156 0.213 39.126
0.158 0.249 39.452
0.158 0.131 39.266
0.158 0.062 39.846
0.159 0.311 39.686
0.159 0.043 39.332
0.160 0.196 39.617
0.162 0.237 39.582
0.163 0.139 39.625
0.371 0.164 39.698
0.166 0.142 39.594
0.166 0.006 39.557
0.170 0.180 39.573
0.170 0.064 39.857
0.171 0.252 39.870
0.171 0.170 39.179
0.173 0.220 39.715
0.173 0.163 39.210
0.175 0.290 39.593
0.177 0.317 39.691
0.179 0.201 39.326
0.183 0.207 39.635
0.184 0.219 39.559
0.184 0.097 39.595
0.185 0.153 39.957
0.187 0.028 39.949
0.118 0.187 40.055
0.191 0.516 39.852
0.193 0.301 40.137
0.194 0.220 39.784
0.195 0.147 39.740
0.195 0.200 39.949
0.196 0.283 39.743
0.196 0.159 40.113
0.196 0.054 40.251
0.196 0.136 39.789
0.198 0.140 39.891
0.198 0.214 40.130
0.198 0.332 40.029
0.198 0.086 39.872
0.199 0.381 39.845
0.199 0.249 40.075
0.202 0.354 39.997
0.203 0.143 40.101
0.204 0.171 40.185
0.205 0.105 40.237
0.206 0.157 40.007
0.207 0.144 40.360
0.209 0.158 40.161
0.212 0.243 40.093
0.212 0.217 40.234
0.214 0.388 40.412
0.215 0.235 40.084
0.215 0.213 40.081
0.215 0.122 39.968
0.216 0.266 40.108
0.216 0.102 40.265
0.216 0.239 40.150
0.217 0.198 40.269
0.218 0.308 40.015
0.219 0.258 40.011
0.220 0.167 39.959
0.221 0.138 40.507
0.222 0.245 40.760
0.222 0.201 40.342
0.222 0.375 40.532
0.223 0.020 40.144
0.224 0.267 40.193
0.225 0.216 40.302
0.331 0.229 40.508
0.322 0.231 40.357
0.232 0.353 40.354
0.234 0.129 40.554
0.235 0.359 40.399
0.236 0.304 40.621
0.236 0.219 40.326
0.237 0.112 40.336
0.238 0.174 40.442
0.238 0.083 40.322
0.238 0.213 40.690
0.239 0.200 39.983
0.239 0.360 40.549
0.239 0.280 40.139
0.240 0.168 40.081
0.240 0.385 40.536
0.240 0.196 40.731
0.240 0.201 40.404
0.241 0.227 40.455
0.241 0.145 40.633
0.242 0.181 40.574
0.242 0.268 40.724
0.242 0.329 40.221
0.243 0.388 40.792
0.152 0.244 40.847
0.244 0.492 40.721
0.244 0.272 40.515
0.246 0.320 40.482
0.247 0.347 40.435
0.249 0.218 40.650
0.250 0.195 40.774
0.250 0.182 40.570
0.253 0.359 41.019
0.257 0.392 40.525
0.257 0.303 40.953
0.258 0.182 40.686
0.259 0.160 40.555
0.260 0.307 40.729
0.266 0.256 40.693
0.268 0.241 40.326
0.268 0.373 40.732
0.269 0.317 40.611
0.269 0.320 40.651
0.271 0.306 40.775
0.272 0.241 40.765
0.429 0.272 40.832
0.272 0.271 40.938
0.275 0.025 40.799
0.275 0.440 40.550
0.275 0.163 40.926
0.275 0.273 40.970
0.276 0.238 40.623
0.441 0.276 40.601
0.277 0.098 40.846
0.278 0.397 40.709
0.278 0.153 41.249
