# Error in mu 0.20
# Average sig_z 0.10
# z   z2   mu
0.015 0.015 34.199
0.016 0.016 34.336
0.017 0.017 34.590
0.017 0.017 34.123
0.018 0.018 34.708
0.020 0.020 34.538
0.020 0.020 34.553
0.021 0.021 34.747
0.021 0.021 34.942
0.023 0.023 35.278
0.025 0.025 35.448
0.025 0.025 34.985
0.025 0.025 35.388
0.025 0.025 35.215
0.027 0.027 35.532
0.027 0.027 35.209
0.027 0.027 35.220
0.028 0.028 35.697
0.030 0.030 35.638
0.030 0.030 35.487
0.031 0.031 35.526
0.033 0.033 35.656
0.034 0.034 36.002
0.034 0.034 36.156
0.036 0.036 36.245
0.036 0.036 36.374
0.036 0.036 36.279
0.039 0.039 35.977
0.041 0.041 36.379
0.042 0.042 36.422
0.042 0.042 35.957
0.043 0.043 36.383
0.043 0.043 36.530
0.043 0.043 36.405
0.045 0.045 36.898
0.046 0.046 36.698
0.046 0.046 36.299
0.046 0.046 36.957
0.047 0.047 36.764
0.047 0.047 36.663
0.049 0.049 36.599
0.050 0.050 36.927
0.058 0.058 36.936
0.058 0.058 37.044
0.059 0.059 37.504
0.060 0.060 36.906
0.061 0.061 37.290
0.064 0.064 37.726
0.064 0.064 37.139
0.065 0.065 37.353
0.065 0.065 37.417
0.065 0.065 37.458
0.065 0.065 37.496
0.066 0.066 37.366
0.066 0.066 37.656
0.067 0.067 37.470
0.069 0.069 37.700
0.070 0.070 37.524
0.071 0.071 37.392
0.071 0.071 37.568
0.071 0.071 37.683
0.071 0.071 37.685
0.072 0.072 37.879
0.073 0.073 37.780
0.075 0.075 37.676
0.075 0.075 37.396
0.076 0.076 37.617
0.078 0.078 37.554
0.079 0.079 37.730
0.079 0.079 37.954
0.079 0.079 37.830
0.080 0.080 37.829
0.081 0.081 37.626
0.081 0.081 37.959
0.081 0.081 38.036
0.082 0.082 37.689
0.084 0.084 38.161
0.089 0.089 37.952
0.090 0.090 38.131
0.090 0.090 38.046
0.090 0.090 37.978
0.092 0.092 38.141
0.093 0.093 38.368
0.097 0.097 38.006
0.097 0.097 38.265
0.097 0.097 38.087
0.098 0.098 38.270
0.102 0.144 38.627
0.102 0.008 38.285
0.102 0.078 38.451
0.103 0.032 38.578
0.103 0.020 38.448
0.106 0.001 38.614
0.110 0.250 38.854
0.112 0.003 38.685
0.112 0.125 38.273
0.112 0.161 38.506
0.112 0.060 38.737
0.114 0.276 38.426
0.114 0.018 38.561
0.114 0.191 38.957
0.115 0.001 39.119
0.021 0.115 38.978
0.119 0.210 38.992
0.121 0.335 38.666
0.121 0.158 38.774
0.122 0.009 39.005
0.373 0.123 39.012
0.283 0.125 38.725
0.128 0.105 38.855
0.131 0.293 38.878
0.131 0.146 39.148
0.131 0.331 38.644
0.132 0.313 38.659
0.134 0.126 38.907
0.134 0.164 39.193
0.134 0.075 38.858
0.136 0.145 39.051
0.137 0.213 38.941
0.137 0.129 38.906
0.137 0.110 39.027
0.139 0.154 38.971
0.139 0.235 39.474
0.140 0.303 39.152
0.144 0.193 39.194
0.144 0.341 39.435
0.144 0.206 39.554
0.145 0.306 39.186
0.148 0.156 39.790
0.149 0.176 39.909
0.151 0.163 39.348
0.152 0.182 39.277
0.152 0.308 39.505
0.153 0.290 39.218
0.153 0.183 39.559
0.153 0.042 39.489
0.154 0.177 39.147
0.155 0.063 39.409
0.156 0.140 39.414
0.160 0.207 39.394
0.273 0.160 39.187
0.042 0.160 39.728
0.163 0.237 39.429
0.163 0.112 40.062
0.163 0.211 39.555
0.165 0.276 39.597
0.167 0.244 39.380
0.350 0.167 39.784
0.167 0.102 39.804
0.168 0.255 39.532
0.169 0.050 39.482
0.170 0.155 39.519
0.170 0.129 39.708
0.170 0.105 40.108
0.172 0.267 39.837
0.172 0.191 39.787
0.173 0.246 39.910
0.173 0.222 39.836
0.176 0.254 39.442
0.177 0.035 39.663
0.177 0.354 39.299
0.180 0.275 39.995
0.180 0.295 39.627
0.180 0.225 39.591
0.157 0.180 40.213
0.181 0.121 39.918
0.181 0.122 39.627
0.182 0.117 39.696
0.182 0.026 39.906
0.182 0.265 39.854
0.182 0.092 39.757
0.182 0.239 39.440
0.183 0.062 39.805
0.183 0.392 39.820
0.184 0.334 39.841
0.184 0.243 39.857
0.185 0.132 39.884
0.042 0.185 39.496
0.185 0.246 39.572
0.186 0.212 39.898
0.186 0.055 39.542
0.186 0.221 39.867
0.186 0.231 40.082
0.187 0.181 39.682
0.170 0.189 39.771
0.189 0.175 39.704
0.190 0.136 39.816
0.191 0.061 39.682
0.195 0.046 40.061
0.196 0.315 40.014
0.196 0.350 39.882
0.199 0.174 40.043
0.200 0.156 40.110
0.203 0.015 40.267
0.205 0.215 40.083
0.205 0.282 40.114
0.206 0.280 39.899
0.207 0.108 40.131
0.207 0.214 39.736
0.210 0.205 39.846
0.211 0.255 40.379
0.212 0.154 39.905
0.212 0.270 40.145
0.212 0.413 40.441
0.212 0.139 40.149
0.213 0.111 40.203
0.215 0.278 40.500
0.215 0.247 40.031
0.137 0.215 40.128
0.218 0.172 39.795
0.219 0.254 40.417
0.219 0.370 40.274
0.219 0.258 40.219
0.222 0.232 40.574
0.226 0.410 40.017
0.226 0.285 40.001
0.227 0.258 40.264
0.230 0.186 40.306
0.231 0.279 40.343
0.231 0.231 40.191
0.232 0.255 40.816
0.234 0.121 40.582
0.234 0.320 40.685
0.237 0.252 40.607
0.238 0.400 40.743
0.238 0.223 40.763
0.239 0.380 40.853
0.239 0.168 40.555
0.239 0.151 40.618
0.240 0.392 41.042
0.240 0.199 40.197
0.241 0.318 40.145
0.243 0.232 40.525
0.243 0.166 40.358
0.244 0.298 40.648
0.307 0.244 40.657
0.246 0.200 40.870
0.248 0.406 40.494
0.249 0.327 40.398
0.249 0.429 40.679
0.249 0.331 40.634
0.250 0.370 40.589
0.278 0.250 40.469
0.251 0.243 40.688
0.252 0.266 40.957
0.252 0.286 40.806
0.254 0.283 40.685
0.254 0.124 40.747
0.256 0.143 40.107
0.257 0.332 40.674
0.257 0.251 40.535
0.243 0.257 40.770
0.259 0.314 40.615
0.260 0.360 40.389
0.260 0.162 40.401
0.262 0.215 40.884
0.267 0.324 41.120
0.267 0.162 40.890
0.182 0.268 40.461
0.269 0.336 41.157
0.269 0.250 41.007
0.269 0.409 40.699
0.262 0.270 40.433
0.270 0.392 40.997
0.270 0.501 41.161
0.270 0.203 40.702
0.271 0.250 40.862
0.271 0.183 40.888
0.275 0.281 40.989
0.275 0.391 40.684
0.277 0.302 40.686
0.278 0.150 40.765
0.205 0.279 40.862
0.283 0.192 40.890
0.285 0.195 41.006
0.286 0.246 40.856
0.287 0.237 40.613
0.288 0.231 40.596
0.289 0.384 40.824
0.290 0.227 40.991
0.326 0.291 40.825
0.203 0.291 41.189
0.323 0.291 40.989
0.293 0.359 40.798
0.296 0.146 40.590
0.296 0.254 40.821
0.296 0.284 41.027
0.296 0.343 40.580
0.297 0.523 41.413
0.297 0.306 40.906
0.297 0.140 41.407
0.301 0.353 40.993
0.302 0.319 40.907
