# Error in mu 0.20
# Photo-z Error 0.010
# z   mu
0.017 34.357
0.019 34.795
0.020 34.562
0.020 34.792
0.021 34.384
0.021 34.751
0.022 35.274
0.023 35.210
0.028 35.281
0.028 35.327
0.031 35.625
0.031 35.849
0.031 35.791
0.031 35.953
0.033 35.931
0.034 35.909
0.034 35.957
0.040 36.415
0.040 36.251
0.041 36.336
0.041 36.969
0.041 36.273
0.044 36.238
0.044 36.919
0.045 36.759
0.046 36.803
0.047 36.630
0.047 36.748
0.047 36.876
0.049 36.714
0.049 36.934
0.050 36.871
0.054 36.987
0.056 36.998
0.057 36.847
0.058 37.138
0.060 37.493
0.062 37.315
0.062 37.109
0.063 37.107
0.063 37.281
0.065 37.625
0.066 37.225
0.068 37.449
0.069 37.753
0.072 37.630
0.072 37.371
0.072 37.779
0.074 37.783
0.075 37.511
0.076 37.874
0.077 38.241
0.078 37.998
0.078 37.835
0.080 37.800
0.084 37.969
0.085 37.982
0.086 37.660
0.087 38.478
0.089 38.310
0.090 38.110
0.090 37.901
0.090 38.403
0.090 38.257
0.091 38.542
0.092 38.328
0.092 38.216
0.092 37.973
0.095 38.326
0.096 38.531
0.097 38.338
0.098 37.788
0.100 38.563
0.100 37.879
0.095 38.108
0.100 38.492
0.101 38.023
0.110 38.101
0.100 38.730
0.129 38.680
0.093 38.700
0.121 38.445
0.101 38.591
0.120 38.889
0.118 38.862
0.124 38.571
0.127 38.685
0.133 38.906
0.125 38.395
0.113 38.737
0.133 38.742
0.144 38.924
0.106 39.197
0.118 38.972
0.138 39.118
0.112 38.760
0.111 39.016
0.136 38.456
0.124 38.710
0.129 38.953
0.125 38.976
0.133 38.870
0.109 38.858
0.131 39.014
0.128 39.229
0.134 38.753
0.133 38.990
0.143 39.433
0.132 38.729
0.131 39.160
0.140 39.334
0.140 38.948
0.142 39.274
0.142 39.491
0.154 39.281
0.158 39.224
0.154 39.313
0.133 39.324
0.160 39.412
0.166 39.311
0.170 39.324
0.151 39.570
0.159 38.972
0.147 39.192
0.157 39.362
0.154 39.472
0.155 39.613
0.163 39.668
0.156 39.697
0.157 39.717
0.159 39.535
0.148 39.099
0.160 39.469
0.146 39.259
0.188 39.436
0.160 39.377
0.160 39.387
0.161 39.966
0.171 39.558
0.193 39.790
0.177 39.590
0.171 39.850
0.161 39.409
0.175 39.740
0.181 39.765
0.200 39.530
0.178 39.506
0.187 39.769
0.188 39.382
0.191 39.917
0.166 39.624
0.166 39.999
0.167 39.971
0.183 39.848
0.158 39.732
0.191 39.754
0.188 39.621
0.180 39.970
0.213 39.948
0.168 39.524
0.180 39.670
0.206 39.759
0.186 40.325
0.197 39.834
0.198 40.095
0.207 39.725
0.194 39.909
0.197 40.024
0.203 39.718
0.193 40.020
0.218 40.183
0.214 39.830
0.197 40.035
0.202 39.858
0.217 39.947
0.212 39.991
0.221 40.003
0.207 40.138
0.227 40.041
0.199 40.136
0.207 39.947
0.202 39.841
0.220 40.063
0.217 39.943
0.214 40.098
0.227 40.224
0.199 39.777
0.239 40.257
0.204 40.164
0.220 40.103
0.206 40.217
0.212 40.108
0.212 40.251
0.212 40.339
0.246 39.903
0.202 40.331
0.231 40.355
0.246 40.267
0.220 40.631
0.230 40.249
0.226 40.264
0.222 40.364
0.223 40.254
0.235 40.457
0.234 40.282
0.238 40.060
0.237 40.410
0.223 40.717
0.244 40.412
0.258 40.349
0.237 40.334
0.244 40.305
0.248 40.577
0.231 40.575
0.254 40.386
0.244 40.624
0.258 40.615
0.246 40.614
0.243 40.535
0.249 40.640
0.253 40.747
0.258 40.310
0.254 40.722
0.255 40.519
0.248 40.166
0.228 40.692
0.248 40.880
0.250 40.300
0.288 40.965
0.251 40.802
0.236 40.430
0.259 40.352
0.295 40.870
0.259 40.631
0.269 40.925
0.281 40.855
0.268 40.812
0.292 40.297
0.277 40.965
0.258 40.944
0.271 40.574
0.280 40.771
0.272 41.097
0.294 40.839
0.259 40.699
0.266 40.824
0.280 40.171
0.283 40.816
0.261 40.734
0.265 40.645
0.248 41.126
0.278 40.766
0.244 40.667
0.267 40.678
0.276 40.932
0.272 41.247
0.282 41.105
0.292 40.799
0.292 41.133
0.287 40.574
0.259 41.127
0.285 40.763
0.306 41.016
0.280 40.841
0.287 40.823
0.283 40.683
0.290 41.157
0.310 40.974
0.291 40.908
0.282 41.166
0.310 40.766
0.308 41.132
0.277 41.057
0.295 41.070
0.301 40.872
0.281 41.029
0.311 41.093
0.289 40.859
0.298 40.897
0.327 41.331
0.320 40.997
0.303 40.827
0.318 40.773
0.302 41.306
0.306 41.132
0.308 41.339
0.315 40.997
0.327 41.070
0.328 40.940
0.290 41.018
0.327 41.244
0.346 41.276
0.340 41.144
0.323 41.118
0.322 41.231
0.323 41.294
0.324 41.164
0.337 41.436
0.325 41.164
0.316 41.259
0.347 41.283
0.305 41.557
0.349 41.449
0.350 41.138
0.357 41.093
0.328 41.750
0.354 41.528
0.360 41.377
0.320 41.474
0.324 42.039
0.368 41.400
0.342 41.696
0.369 41.216
0.367 41.165
0.369 41.746
0.354 41.234
0.369 41.116
0.374 41.354
0.377 41.618
0.363 41.505
0.368 41.786
0.384 41.289
0.360 41.413
0.379 41.320
0.368 41.661
0.368 41.440
0.373 41.375
0.350 41.409
0.368 41.039
0.361 41.498
0.365 41.275
0.384 41.740
0.408 41.751
0.387 41.346
0.387 41.409
0.370 41.518
0.369 41.755
0.378 41.554
0.378 41.708
0.372 41.717
0.371 41.764
