# Error in mu 0.20
# z   mu
0.015 34.362
0.017 34.549
0.018 34.417
0.019 34.579
0.019 34.509
0.019 34.669
0.020 34.682
0.022 34.640
0.023 35.385
0.023 35.351
0.024 35.259
0.025 35.370
0.026 35.406
0.028 35.202
0.029 35.691
0.031 35.578
0.033 35.692
0.035 35.932
0.037 36.052
0.037 35.904
0.038 36.239
0.038 36.385
0.042 36.489
0.042 36.280
0.043 36.771
0.043 36.706
0.043 36.213
0.043 36.248
0.043 36.634
0.046 37.040
0.047 36.816
0.047 36.466
0.047 36.732
0.048 36.758
0.049 36.323
0.050 37.130
0.050 36.904
0.050 36.905
0.052 36.621
0.052 36.672
0.053 36.682
0.054 37.210
0.054 36.909
0.054 37.059
0.055 37.169
0.056 36.918
0.058 37.573
0.058 36.824
0.059 37.221
0.061 37.212
0.062 37.404
0.062 37.337
0.063 37.390
0.064 37.247
0.064 37.580
0.064 37.209
0.064 37.085
0.066 37.099
0.067 37.602
0.068 37.680
0.069 37.522
0.072 37.774
0.072 37.167
0.073 37.925
0.074 37.690
0.074 37.593
0.074 37.477
0.074 36.944
0.074 38.007
0.075 37.905
0.076 37.725
0.077 37.985
0.078 37.896
0.078 37.849
0.080 37.921
0.081 38.175
0.083 37.735
0.083 37.845
0.083 38.169
0.084 38.124
0.085 37.884
0.087 38.270
0.087 38.060
0.089 38.134
0.090 37.860
0.094 38.041
0.094 38.529
0.095 38.425
0.095 38.146
0.096 38.294
0.097 38.220
0.098 38.011
0.099 38.353
0.100 38.455
0.101 38.255
0.101 38.752
0.102 38.209
0.105 38.275
0.106 38.937
0.107 38.719
0.108 38.871
0.108 38.869
0.108 38.240
0.109 38.574
0.111 38.723
0.113 38.584
0.113 38.770
0.113 38.694
0.114 38.786
0.116 38.843
0.116 39.026
0.116 38.770
0.117 39.022
0.117 39.006
0.117 38.525
0.118 38.874
0.122 38.805
0.122 38.752
0.127 38.859
0.128 39.074
0.129 38.827
0.130 39.300
0.130 38.977
0.132 38.917
0.132 38.941
0.133 39.308
0.133 38.914
0.133 39.077
0.134 38.832
0.135 39.351
0.136 39.109
0.136 38.855
0.138 39.200
0.138 38.952
0.138 38.841
0.139 39.272
0.140 39.361
0.140 39.430
0.140 39.438
0.141 38.576
0.142 39.061
0.142 38.948
0.142 39.087
0.143 39.317
0.143 39.248
0.145 39.207
0.146 39.380
0.148 39.209
0.150 39.502
0.150 39.356
0.151 39.080
0.151 39.584
0.152 39.009
0.153 39.601
0.156 39.281
0.157 39.365
0.157 39.520
0.159 39.617
0.160 39.224
0.160 39.626
0.163 39.705
0.163 39.823
0.165 39.356
0.165 39.847
0.169 39.931
0.170 40.153
0.173 39.703
0.173 39.801
0.174 39.794
0.174 39.718
0.175 39.651
0.178 39.654
0.178 40.067
0.181 39.609
0.181 39.607
0.181 39.314
0.182 40.070
0.182 39.817
0.182 39.807
0.184 39.477
0.184 39.815
0.190 39.671
0.191 39.541
0.192 40.224
0.192 39.960
0.194 39.905
0.195 39.821
0.195 40.193
0.196 39.913
0.196 39.888
0.196 40.038
0.199 39.689
0.199 39.682
0.202 40.139
0.203 40.174
0.204 40.312
0.204 40.223
0.205 39.942
0.205 40.247
0.208 40.396
0.208 40.245
0.212 40.097
0.212 40.145
0.213 40.378
0.213 40.094
0.213 39.764
0.214 40.231
0.215 40.029
0.215 40.299
0.218 40.494
0.219 39.920
0.226 40.338
0.227 40.443
0.227 40.382
0.227 40.142
0.228 40.429
0.228 40.486
0.229 40.013
0.230 40.102
0.231 40.478
0.234 40.698
0.234 40.311
0.234 40.438
0.234 40.428
0.235 40.384
0.235 40.710
0.236 40.377
0.237 40.327
0.237 40.226
0.237 40.517
0.239 40.556
0.240 40.006
0.240 40.281
0.241 40.607
0.241 40.400
0.241 40.590
0.242 40.360
0.243 40.620
0.245 40.650
0.246 40.499
0.247 40.835
0.248 40.280
0.249 40.339
0.251 40.417
0.252 40.448
0.253 40.652
0.254 40.690
0.256 40.677
0.256 40.646
0.257 40.992
0.259 40.435
0.260 40.659
0.262 40.692
0.264 40.925
0.264 40.610
0.265 40.748
0.266 40.508
0.266 41.063
0.266 40.722
0.267 40.812
0.268 40.821
0.268 40.927
0.268 40.434
0.269 40.683
0.271 40.839
0.271 40.656
0.272 40.966
0.273 40.738
0.273 40.625
0.276 40.855
0.280 40.709
0.280 40.762
0.281 41.059
0.282 40.857
0.283 40.894
0.284 40.921
0.284 40.812
0.284 41.036
0.285 40.871
0.286 41.019
0.286 40.661
0.288 40.814
0.290 40.930
0.291 41.197
0.291 40.995
0.292 40.856
0.293 41.077
0.295 40.861
0.297 40.935
0.297 40.706
0.298 41.045
0.299 40.975
0.299 40.986
0.300 40.801
0.303 41.068
0.305 40.941
0.305 40.839
0.306 40.763
0.309 41.494
0.309 41.039
0.314 41.523
0.314 41.232
0.314 41.291
0.315 40.861
0.316 41.134
0.318 41.280
0.318 41.399
0.320 40.919
0.323 41.075
0.323 41.215
0.323 41.349
0.323 41.123
0.326 41.241
0.327 41.456
0.330 40.928
0.331 41.370
0.331 41.499
0.331 41.319
0.332 41.203
0.332 41.381
0.333 41.351
0.335 41.421
0.335 41.388
0.338 41.547
0.340 41.534
0.341 41.178
0.341 41.173
0.342 41.370
0.343 41.395
0.344 41.664
0.347 41.403
0.349 41.492
0.349 41.172
0.350 41.220
0.352 41.630
0.352 41.598
0.353 41.239
0.353 41.155
0.355 41.394
0.356 41.523
0.356 41.578
0.360 41.628
0.361 41.551
0.362 41.566
0.363 41.598
0.363 41.520
0.365 41.335
0.366 41.398
0.367 41.452
0.372 41.372
0.373 41.565
0.375 41.282
0.375 41.967
0.376 41.646
0.377 41.748
0.377 41.467
0.377 41.600
0.378 41.724
0.380 41.649
0.381 41.415
0.381 41.741
0.382 41.745
0.382 41.686
0.382 41.596
0.383 41.528
0.383 41.440
0.383 41.569
0.387 41.947
0.387 41.545
0.387 42.038
0.387 41.530
0.388 41.805
0.388 41.682
0.390 41.765
0.390 41.886
0.390 42.052
0.390 41.856
0.391 42.008
0.391 41.871
0.392 41.803
0.394 41.496
0.394 41.560
0.394 41.968
0.394 41.983
0.394 41.766
0.396 41.595
0.397 41.800
0.404 41.613
0.405 42.084
0.407 41.651
0.407 41.559
0.408 41.751
0.408 42.024
0.410 41.776
0.410 41.585
0.411 41.891
0.413 42.276
0.413 41.640
0.416 41.674
0.417 42.178
0.418 41.739
0.418 42.030
0.419 41.662
0.420 41.458
0.420 41.818
0.421 41.554
0.421 41.925
0.422 41.903
0.422 41.788
0.423 41.800
0.423 42.091
0.424 41.853
0.424 42.076
0.425 41.915
0.427 41.954
0.427 42.217
0.429 42.259
0.429 42.005
0.430 42.175
0.430 41.658
0.430 42.215
0.433 41.851
0.434 42.168
0.434 41.967
0.434 41.711
0.435 42.183
0.438 42.196
0.439 42.262
0.439 42.022
0.440 41.652
0.440 41.893
0.441 42.018
0.441 42.161
0.442 41.964
0.442 41.938
0.443 42.348
0.444 42.046
0.446 41.834
0.447 42.301
0.447 41.623
0.450 42.144
0.450 41.858
0.450 41.764
0.450 42.250
0.450 41.777
0.453 42.260
0.453 42.019
0.454 42.087
0.455 42.296
0.455 42.226
0.456 42.186
0.456 42.362
0.458 42.166
0.459 42.225
0.461 41.958
0.461 42.199
0.462 41.700
0.463 42.556
0.464 41.884
0.465 42.194
0.467 42.319
0.468 42.128
0.469 42.059
0.476 42.190
0.476 42.274
0.477 42.253
0.477 42.267
0.477 42.228
0.478 42.396
0.479 42.222
0.479 42.274
0.480 42.267
0.482 42.001
0.483 42.258
0.483 41.749
0.483 42.464
0.484 42.156
0.484 42.618
0.487 42.195
0.487 42.257
0.487 42.331
0.488 42.433
0.491 42.113
0.491 42.437
0.493 42.432
0.494 42.272
0.496 42.210
0.496 41.950
0.497 42.306
0.497 42.081
0.497 42.148
0.499 42.058
0.499 42.939
0.499 42.104
0.500 42.651
0.501 42.345
0.506 42.206
0.507 42.317
0.507 42.513
0.507 42.387
0.509 42.581
0.509 42.206
0.510 42.646
0.511 42.381
0.512 42.413
0.512 42.156
0.512 42.235
0.513 42.705
0.513 42.613
0.514 42.316
0.514 42.644
0.517 42.042
0.524 42.275
0.525 42.518
0.527 42.307
0.528 42.244
0.528 42.333
0.529 42.259
0.529 42.743
0.530 42.332
0.531 42.533
0.535 42.762
0.536 42.391
0.536 42.471
0.537 42.645
0.537 42.286
0.538 42.554
0.539 42.297
0.540 42.142
0.541 43.095
0.542 42.476
0.542 42.631
0.544 42.533
0.545 42.545
0.548 42.249
0.548 42.762
0.550 42.568
0.550 42.469
0.551 42.407
0.553 42.532
0.554 42.448
0.556 42.632
0.559 42.597
0.560 42.706
0.561 42.552
0.562 42.261
0.562 42.607
0.562 42.663
0.563 42.703
0.567 43.008
0.567 42.523
0.567 42.507
0.568 42.846
0.570 42.921
0.570 42.677
0.572 42.747
0.574 42.551
0.575 42.706
0.575 42.944
0.577 42.840
0.578 42.821
0.578 42.718
0.582 42.848
0.582 42.970
0.582 42.992
0.583 42.782
0.583 42.513
0.584 43.008
0.585 42.765
0.585 42.408
0.585 42.529
0.585 42.890
0.586 42.605
0.589 42.908
0.590 42.693
0.591 42.791
0.592 42.876
0.593 42.582
0.595 42.736
0.596 42.810
0.597 42.825
0.597 42.935
0.598 42.763
0.603 42.602
0.604 42.901
0.604 42.949
0.605 42.859
0.606 42.843
0.606 43.016
0.606 42.767
0.607 42.886
0.607 42.807
0.609 42.900
0.610 42.839
0.611 43.068
0.611 42.927
0.612 42.426
0.613 42.767
0.613 42.964
0.615 42.607
0.616 42.747
0.616 42.809
0.618 42.929
0.618 42.829
0.619 43.202
0.619 43.053
0.621 42.888
0.621 42.663
0.624 43.200
0.624 42.917
0.625 42.920
0.625 42.918
0.626 43.028
0.626 43.139
0.626 43.224
0.629 42.740
0.630 43.352
0.630 43.086
0.634 42.387
0.638 43.100
0.638 42.892
0.639 43.350
0.639 42.680
0.640 42.900
0.642 42.811
0.642 43.080
0.642 43.018
0.644 43.358
0.645 42.772
0.645 43.067
0.646 42.773
0.646 43.084
0.650 43.238
0.650 43.219
0.654 42.896
0.654 43.045
0.656 42.705
0.656 43.286
0.657 42.923
0.657 42.957
0.658 42.907
0.660 42.915
0.661 42.993
0.661 43.114
0.661 43.043
0.663 42.979
0.663 43.289
0.665 42.825
0.665 43.155
0.667 42.949
0.670 42.892
0.671 43.356
0.671 43.362
0.671 42.744
0.673 43.172
0.675 42.937
0.675 43.405
0.677 43.137
0.677 42.997
0.680 43.077
0.680 43.328
0.680 42.807
0.681 42.833
0.682 43.129
0.682 43.213
0.682 43.193
0.682 42.759
0.684 43.297
0.686 43.599
0.686 43.348
0.689 43.041
0.690 43.159
0.690 43.235
0.690 43.016
0.695 43.428
0.696 43.273
0.699 43.190
0.699 43.058
0.700 43.291
0.701 43.406
0.701 42.938
0.703 43.461
0.703 43.225
0.703 43.694
0.706 43.407
0.706 43.043
0.707 42.804
0.707 43.336
0.707 43.318
0.708 43.411
0.709 43.056
0.710 43.259
0.711 43.176
0.712 43.195
0.712 43.103
0.712 43.045
0.713 43.504
0.713 43.403
0.713 42.860
0.714 43.441
0.716 43.155
0.718 43.340
0.718 43.104
0.718 43.264
0.718 43.185
0.719 43.487
0.719 43.376
0.723 43.023
0.723 43.584
0.723 43.078
0.723 43.302
0.724 43.341
0.725 43.089
0.725 43.254
0.725 43.206
0.726 43.150
0.730 43.448
0.732 43.305
0.732 43.118
0.734 43.457
0.734 43.106
0.735 43.312
0.735 43.258
0.736 43.244
0.736 43.055
0.737 43.321
0.737 42.943
0.738 43.333
0.739 43.080
0.741 43.344
0.741 43.558
0.742 43.208
0.742 43.295
0.742 43.218
0.743 43.208
0.744 43.514
0.745 43.272
0.746 43.511
0.747 42.952
0.751 43.328
0.752 43.644
0.753 43.112
0.753 43.156
0.755 43.307
0.760 43.478
0.760 43.523
0.760 43.548
0.764 43.127
0.765 43.669
0.769 43.417
0.769 43.467
0.771 43.421
0.771 43.344
0.771 43.191
0.771 43.685
0.771 43.426
0.772 43.356
0.773 43.344
0.773 43.586
0.774 43.655
0.775 43.227
0.775 43.579
0.777 43.666
0.778 43.619
0.779 43.471
0.779 43.654
0.780 43.507
0.781 43.533
0.782 43.582
0.784 43.232
0.784 43.456
0.785 43.139
0.788 43.669
0.789 43.703
0.791 43.803
0.792 43.220
0.792 43.492
0.793 43.862
0.795 43.382
0.797 43.516
0.797 43.568
0.800 43.545
0.800 43.466
0.801 43.748
0.803 43.175
0.804 43.207
0.804 43.457
0.806 43.444
0.809 43.757
0.809 43.545
0.810 43.538
0.812 43.655
0.813 43.957
0.813 43.835
0.814 43.427
0.814 43.533
0.816 43.636
0.816 43.677
0.817 43.586
0.818 43.749
0.818 43.836
0.818 43.213
0.819 44.167
0.820 43.929
0.821 43.526
0.821 43.759
0.822 43.777
0.826 43.588
0.826 43.605
0.827 43.544
0.828 43.880
0.828 43.845
0.828 43.842
0.830 44.093
0.830 44.048
0.832 43.587
0.832 43.641
0.835 43.600
0.835 43.712
0.837 43.821
0.838 43.330
0.838 43.869
0.839 43.775
0.842 43.410
0.842 43.538
0.843 43.912
0.844 43.229
0.846 43.573
0.847 43.574
0.847 43.458
0.848 43.795
0.849 43.987
0.851 43.798
0.851 43.495
0.851 43.633
0.852 43.588
0.853 43.275
0.854 43.778
0.855 43.710
0.856 43.650
0.857 43.386
0.857 44.066
0.858 43.555
0.858 43.538
0.860 43.576
0.860 43.678
0.860 43.794
0.860 43.540
0.861 43.760
0.862 43.492
0.863 43.958
0.864 44.151
0.864 43.933
0.865 43.688
0.865 43.919
0.867 43.543
0.868 43.921
0.869 44.061
0.870 43.642
0.870 43.449
0.871 43.608
0.871 43.702
0.872 43.586
0.873 43.721
0.874 43.721
0.874 43.590
0.875 43.823
0.875 43.679
0.877 43.752
0.879 43.611
0.881 43.714
0.881 44.026
0.881 43.915
0.882 43.626
0.882 44.167
0.883 43.814
0.884 44.075
0.884 43.553
0.885 43.815
0.887 43.610
0.887 43.403
0.889 43.747
0.890 43.642
0.890 43.839
0.891 43.709
0.892 43.652
0.893 43.953
0.894 43.786
0.896 43.840
0.896 43.782
0.897 43.983
0.898 43.779
0.898 44.275
0.900 43.943
0.903 44.069
0.904 43.996
0.904 43.545
0.905 43.850
0.907 43.807
0.908 43.666
0.908 43.801
0.908 44.094
0.909 43.849
0.910 44.039
0.911 43.843
0.915 44.022
0.915 43.820
0.916 44.182
0.916 43.728
0.918 43.937
0.919 43.938
0.920 44.082
0.922 43.857
0.924 43.642
0.925 43.778
0.925 44.009
0.925 44.077
0.925 43.965
0.926 44.202
0.926 43.847
0.926 43.820
0.927 44.336
0.927 43.949
0.931 43.852
0.931 43.914
0.932 44.096
0.933 44.321
0.934 44.012
0.934 44.010
0.934 44.141
0.935 43.964
0.937 44.031
0.937 44.246
0.939 44.088
0.942 43.869
0.944 44.185
0.946 43.889
0.947 44.351
0.948 44.101
0.948 43.896
0.949 43.972
0.949 44.171
0.949 44.360
0.950 44.293
0.951 43.991
0.951 43.988
0.953 43.800
0.954 44.239
0.954 43.994
0.955 44.163
0.956 43.924
0.956 44.192
0.957 43.926
0.957 44.041
0.958 44.267
0.959 43.710
0.960 43.855
0.961 44.100
0.962 44.048
0.963 44.271
0.963 43.801
0.967 43.922
0.967 43.884
0.968 43.972
0.968 43.623
0.968 43.934
0.968 44.198
0.970 44.005
0.971 44.127
0.971 44.005
0.973 43.755
0.973 44.186
0.973 43.834
0.973 44.082
0.975 43.693
0.975 44.389
0.975 44.136
0.978 43.671
0.979 43.912
0.979 44.172
0.980 44.040
0.981 44.454
0.981 44.056
0.984 44.267
0.984 44.455
0.986 44.008
0.987 44.239
0.988 44.659
0.989 44.196
0.990 44.139
0.992 44.516
0.992 44.430
0.993 44.217
0.994 43.764
0.994 44.155
0.996 44.100
0.996 44.205
0.999 44.331
0.999 44.027
0.999 44.031
