# Error in z 0.04
# Error in mu 0.20 for Ia and 1.50 for nonaIa
# Type=1 for Ia, 0 otherwise
# cor_z=1 if z_obs correct host, 0 otherwise
# z_obs  z_shifted   mu_t   mu_o   type   cor_z
0.016 0.016 34.319 34.258 1 1
0.021 0.021 34.892 34.775 1 1
0.027 0.027 35.400 35.723 1 1
0.029 0.029 35.568 35.471 1 1
0.029 0.029 35.625 35.848 1 1
0.033 0.033 35.869 35.646 1 1
0.034 0.034 35.967 35.911 1 1
0.035 0.035 36.020 35.839 1 1
0.036 0.036 36.071 36.131 1 1
0.037 0.037 36.109 36.434 1 1
0.038 0.038 36.172 35.898 1 1
0.038 0.038 36.192 36.345 1 1
0.038 0.038 36.214 36.275 1 1
0.040 0.040 36.283 36.229 1 1
0.040 0.040 36.327 36.082 1 1
0.043 0.043 36.457 36.371 1 1
0.043 0.043 36.476 36.045 1 1
0.047 0.047 36.657 36.290 1 1
0.047 0.047 36.687 36.647 1 1
0.048 0.048 36.702 36.475 1 1
0.051 0.051 36.833 36.969 1 1
0.052 0.052 36.915 36.899 1 1
0.053 0.053 36.931 36.758 1 1
0.053 0.053 36.937 36.821 1 1
0.054 0.054 36.999 36.966 1 1
0.055 0.055 37.003 37.033 1 1
0.058 0.058 37.128 37.171 1 1
0.058 0.058 37.132 36.912 1 1
0.058 0.058 37.148 37.265 1 1
0.059 0.059 37.162 37.219 1 1
0.059 0.059 37.184 37.420 1 1
0.060 0.060 37.217 37.197 1 1
0.062 0.062 37.299 37.653 1 1
0.063 0.063 37.327 37.410 1 1
0.063 0.063 37.339 37.310 1 1
0.063 0.063 37.343 37.227 1 1
0.064 0.064 37.373 37.125 1 1
0.066 0.066 37.416 37.528 1 1
0.066 0.066 37.439 37.517 1 1
0.068 0.068 37.486 37.192 1 1
0.068 0.068 37.508 37.252 1 1
0.068 0.068 37.516 37.785 1 1
0.071 0.071 37.591 37.203 1 1
0.072 0.072 37.620 37.847 1 1
0.073 0.073 37.653 37.420 1 1
0.073 0.073 37.666 37.790 1 1
0.075 0.075 37.714 37.970 1 1
0.076 0.076 37.744 37.653 1 1
0.077 0.077 37.790 37.804 1 1
0.078 0.078 37.822 38.061 1 1
0.078 0.078 37.824 37.623 1 1
0.080 0.080 37.879 37.690 1 1
0.083 0.083 37.962 37.922 1 1
0.083 0.083 37.964 38.124 1 1
0.084 0.084 37.976 38.369 1 1
0.084 0.084 37.979 37.872 1 1
0.085 0.085 38.011 38.258 1 1
0.086 0.086 38.038 38.102 1 1
0.086 0.086 38.045 38.120 1 1
0.087 0.087 38.072 38.072 1 1
0.089 0.089 38.109 37.910 1 1
0.089 0.089 38.120 38.164 1 1
0.090 0.090 38.146 37.972 1 1
0.091 0.091 38.155 38.340 1 1
0.092 0.092 38.185 37.850 1 1
0.092 0.092 38.203 37.934 1 1
0.093 0.093 38.210 38.240 1 1
0.093 0.093 38.216 38.279 1 1
0.094 0.094 38.230 37.919 1 1
0.094 0.094 38.235 38.001 1 1
0.094 0.094 38.246 37.933 1 1
0.095 0.095 38.266 38.430 1 1
0.096 0.096 38.283 37.950 1 1
0.099 0.099 38.367 38.554 1 1
0.100 0.194 38.388 38.489 1 1
0.100 0.094 38.394 38.339 1 1
0.101 0.189 38.405 40.809 0 1
0.103 0.207 38.464 38.843 1 1
0.104 0.173 38.479 38.401 1 1
0.104 0.026 38.481 38.525 1 1
0.105 0.030 38.492 38.803 1 1
0.106 0.146 38.523 38.749 1 1
0.106 0.105 38.525 38.630 1 1
0.107 0.135 38.546 38.608 1 1
0.110 0.162 38.602 38.232 1 1
0.110 0.116 38.604 40.515 0 1
0.110 0.200 38.606 39.501 0 1
0.110 0.199 38.609 38.987 1 1
0.111 0.247 38.625 38.869 1 1
0.010 0.112 38.647 38.337 1 1
0.114 0.060 38.689 39.023 1 1
0.114 0.010 38.690 38.356 1 1
0.114 0.211 38.691 39.030 1 1
0.115 0.006 38.711 38.522 1 1
0.258 0.116 38.737 38.775 1 1
0.117 0.032 38.740 42.764 0 1
0.117 0.268 38.741 39.036 1 1
0.118 0.067 38.766 38.754 1 1
0.118 0.193 38.768 39.174 1 1
0.120 0.067 38.800 38.663 1 1
0.122 0.009 38.843 40.257 0 1
0.122 0.187 38.846 38.924 1 1
0.123 0.053 38.858 38.642 1 1
0.124 0.176 38.884 39.676 0 1
0.126 0.265 38.915 39.165 1 1
0.127 0.172 38.946 39.076 1 1
0.128 0.095 38.965 39.262 1 1
0.128 0.089 38.967 39.014 1 1
0.129 0.114 38.986 39.243 1 1
0.131 0.038 39.017 39.148 1 1
0.132 0.193 39.029 39.113 1 1
0.133 0.099 39.054 39.095 1 1
0.136 0.120 39.098 38.907 1 1
0.140 0.197 39.171 39.290 1 1
0.140 0.054 39.177 39.113 1 1
0.142 0.222 39.213 39.265 1 1
0.143 0.011 39.214 41.951 0 1
0.145 0.152 39.253 39.146 1 1
0.145 0.203 39.257 39.151 1 1
0.146 0.101 39.273 39.773 1 1
0.138 0.147 39.280 39.344 1 1
0.147 0.032 39.290 39.488 1 1
0.153 0.123 39.377 39.639 1 1
0.154 0.102 39.398 39.638 1 1
0.154 0.239 39.401 39.465 1 1
0.155 0.228 39.414 39.618 1 1
0.157 0.278 39.450 39.417 1 1
0.158 0.319 39.458 39.584 1 1
0.158 0.212 39.461 39.533 1 1
0.160 0.218 39.489 39.033 1 1
0.160 0.275 39.492 42.437 0 1
0.162 0.181 39.513 39.435 1 1
0.162 0.134 39.516 39.871 1 1
0.162 0.094 39.518 39.288 1 1
0.164 0.152 39.547 39.815 1 1
0.165 0.174 39.569 39.590 1 1
0.169 0.121 39.624 39.826 1 1
0.169 0.251 39.624 39.617 1 1
0.171 0.203 39.649 39.645 1 1
0.172 0.171 39.668 39.707 1 1
0.173 0.225 39.671 41.245 0 1
0.175 0.078 39.698 39.806 1 1
0.208 0.179 39.753 39.549 1 1
0.180 0.398 39.764 39.526 1 1
0.180 0.134 39.767 39.553 1 1
0.112 0.180 39.773 39.789 1 1
0.180 0.225 39.774 39.817 1 1
0.181 0.204 39.789 39.495 1 1
0.182 0.222 39.792 39.922 1 1
0.182 0.163 39.803 39.715 1 1
0.184 0.186 39.826 39.665 1 1
0.186 0.077 39.844 39.824 1 1
0.187 0.123 39.868 39.660 1 1
0.188 0.222 39.869 39.804 1 1
0.189 0.062 39.889 39.981 1 1
0.189 0.195 39.891 39.801 1 1
0.190 0.103 39.902 40.184 1 1
0.193 0.180 39.933 39.878 1 1
0.193 0.279 39.936 40.058 1 1
0.193 0.085 39.943 39.516 1 1
0.193 0.122 39.943 39.778 1 1
0.194 0.394 39.946 39.923 1 1
0.194 0.042 39.956 40.575 1 1
0.196 0.220 39.971 40.431 1 1
0.196 0.307 39.976 40.122 1 1
0.198 0.323 39.999 40.082 1 1
0.300 0.199 40.018 40.357 1 1
0.201 0.079 40.037 40.104 1 1
0.201 0.159 40.042 40.282 1 1
0.204 0.183 40.074 42.952 0 1
0.204 0.133 40.077 40.053 1 1
0.205 0.213 40.078 39.834 1 1
0.206 0.190 40.093 40.299 1 1
0.207 0.107 40.104 39.851 1 1
0.207 0.307 40.108 39.950 1 1
0.207 0.309 40.112 40.069 1 1
0.207 0.265 40.113 40.098 1 1
0.207 0.148 40.113 40.341 1 1
0.257 0.208 40.119 40.200 1 1
0.208 0.072 40.125 40.071 1 1
0.210 0.312 40.140 40.056 1 1
0.210 0.121 40.141 40.121 1 1
0.213 0.153 40.177 40.254 1 1
0.217 0.245 40.222 40.256 1 1
0.217 0.229 40.224 40.520 1 1
0.320 0.217 40.225 40.134 1 1
0.324 0.218 40.231 40.468 1 1
0.286 0.218 40.236 40.328 1 1
0.129 0.219 40.246 40.597 1 1
0.220 0.341 40.256 40.197 1 1
0.220 0.265 40.257 40.213 1 1
0.220 0.180 40.259 40.405 1 1
0.221 0.430 40.270 40.217 1 1
0.223 0.256 40.294 40.164 1 1
0.108 0.225 40.308 40.224 1 1
0.225 0.027 40.311 40.480 1 1
0.358 0.226 40.318 40.169 1 1
0.228 0.119 40.348 40.234 1 1
0.229 0.140 40.351 40.741 1 1
0.230 0.151 40.361 40.070 1 1
0.230 0.443 40.366 40.473 1 1
0.231 0.301 40.374 40.504 1 1
0.233 0.260 40.392 40.362 1 1
0.233 0.368 40.397 42.475 0 1
0.233 0.287 40.398 40.126 1 1
0.234 0.104 40.403 39.902 1 1
0.235 0.129 40.421 40.199 1 1
0.236 0.239 40.426 40.156 1 1
0.237 0.177 40.433 40.454 1 1
0.240 0.347 40.465 40.165 1 1
0.243 0.090 40.495 40.293 1 1
0.244 0.205 40.505 40.619 1 1
0.328 0.244 40.514 40.141 1 1
0.250 0.246 40.534 40.847 1 1
0.247 0.256 40.536 40.286 1 1
0.247 0.179 40.543 40.663 1 1
0.248 0.168 40.553 40.420 1 1
0.249 0.132 40.557 40.716 1 1
0.250 0.201 40.567 40.576 1 1
0.250 0.158 40.569 40.350 1 1
0.300 0.250 40.572 40.626 1 1
0.250 0.179 40.573 40.494 1 1
0.252 0.399 40.593 40.516 1 1
0.252 0.278 40.593 40.856 1 1
0.254 0.397 40.607 40.686 1 1
0.254 0.397 40.612 40.800 1 1
0.255 0.293 40.622 40.700 1 1
0.256 0.449 40.628 40.678 1 1
0.256 0.355 40.630 40.551 1 1
0.256 0.194 40.633 41.194 1 1
0.259 0.299 40.656 41.170 1 1
0.260 0.406 40.663 40.737 1 1
0.397 0.260 40.668 41.061 1 1
0.262 0.264 40.684 45.029 0 1
0.263 0.176 40.690 40.852 1 1
0.263 0.143 40.692 40.661 1 1
0.263 0.135 40.696 40.778 1 1
0.264 0.033 40.702 40.931 1 1
0.264 0.213 40.708 41.019 1 1
