# acceptance rate 14.88
# Om   w   H0   chi2
0.286 -0.983 66.996 -1235.174
0.388 -0.887 66.468 -1224.042
0.388 -0.887 66.468 -1224.042
0.408 -0.884 65.988 -1214.305
0.408 -0.884 65.988 -1214.305
0.408 -0.884 65.988 -1214.305
0.408 -0.884 65.988 -1214.305
0.354 -0.794 65.080 -1191.789
0.354 -0.794 65.080 -1191.789
0.427 -0.900 63.899 -1171.125
0.427 -0.900 63.899 -1171.125
0.427 -0.900 63.899 -1171.125
0.427 -0.900 63.899 -1171.125
0.616 -0.922 62.535 -1169.784
0.616 -0.922 62.535 -1169.784
0.616 -0.922 62.535 -1169.784
0.625 -0.891 61.281 -1148.964
0.625 -0.891 61.281 -1148.964
0.625 -0.891 61.281 -1148.964
0.625 -0.891 61.281 -1148.964
0.625 -0.891 61.281 -1148.964
0.667 -0.899 59.974 -1140.607
0.667 -0.899 59.974 -1140.607
0.667 -0.899 59.974 -1140.607
0.667 -0.899 59.974 -1140.607
0.667 -0.899 59.974 -1140.607
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.680 -0.944 59.590 -1139.740
0.698 -0.923 58.930 -1140.636
0.698 -0.923 58.930 -1140.636
0.656 -0.930 59.728 -1140.029
0.656 -0.930 59.728 -1140.029
0.656 -0.930 59.728 -1140.029
0.656 -0.930 59.728 -1140.029
0.656 -0.930 59.728 -1140.029
0.656 -0.930 59.728 -1140.029
0.656 -0.930 59.728 -1140.029
0.656 -0.930 59.728 -1140.029
0.656 -0.930 59.728 -1140.029
0.656 -0.930 59.728 -1140.029
0.656 -0.930 59.728 -1140.029
0.656 -0.930 59.728 -1140.029
0.656 -0.930 59.728 -1140.029
0.656 -0.930 59.728 -1140.029
0.656 -0.930 59.728 -1140.029
0.656 -0.930 59.728 -1140.029
0.656 -0.930 59.728 -1140.029
0.656 -0.930 59.728 -1140.029
0.637 -0.783 59.648 -1139.844
0.637 -0.783 59.648 -1139.844
0.637 -0.783 59.648 -1139.844
0.637 -0.783 59.648 -1139.844
0.637 -0.783 59.648 -1139.844
0.637 -0.783 59.648 -1139.844
0.637 -0.783 59.648 -1139.844
0.637 -0.783 59.648 -1139.844
0.637 -0.783 59.648 -1139.844
0.637 -0.783 59.648 -1139.844
0.637 -0.783 59.648 -1139.844
0.637 -0.783 59.648 -1139.844
0.637 -0.783 59.648 -1139.844
0.637 -0.783 59.648 -1139.844
0.614 -0.711 59.751 -1140.069
0.614 -0.711 59.751 -1140.069
0.614 -0.711 59.751 -1140.069
0.614 -0.711 59.751 -1140.069
0.614 -0.711 59.751 -1140.069
0.614 -0.711 59.751 -1140.069
0.614 -0.711 59.751 -1140.069
0.614 -0.711 59.751 -1140.069
0.614 -0.711 59.751 -1140.069
0.669 -0.786 59.242 -1139.800
0.669 -0.786 59.242 -1139.800
0.669 -0.786 59.242 -1139.800
0.669 -0.786 59.242 -1139.800
0.669 -0.786 59.242 -1139.800
0.669 -0.786 59.242 -1139.800
0.669 -0.786 59.242 -1139.800
0.669 -0.786 59.242 -1139.800
0.669 -0.786 59.242 -1139.800
0.669 -0.786 59.242 -1139.800
