# acceptance rate 27.51
# Om   w   H0   chi2
0.320 -1.001 69.953 2.672e+03
0.320 -1.001 69.953 2.672e+03
0.320 -1.001 69.953 2.672e+03
0.287 -0.947 68.520 2.565e+03
0.287 -0.947 68.520 2.565e+03
0.287 -0.947 68.520 2.565e+03
0.287 -0.947 68.520 2.565e+03
0.287 -0.947 68.520 2.565e+03
0.287 -0.947 68.520 2.565e+03
0.287 -0.947 68.520 2.565e+03
0.287 -0.947 68.520 2.565e+03
0.287 -0.947 68.520 2.565e+03
0.287 -0.947 68.520 2.565e+03
0.287 -0.947 68.520 2.565e+03
0.287 -0.947 68.520 2.565e+03
0.287 -0.947 68.520 2.565e+03
0.287 -0.947 68.520 2.565e+03
0.285 -1.069 67.257 2.529e+03
0.360 -1.159 65.613 2.478e+03
0.360 -1.159 65.613 2.478e+03
0.360 -1.159 65.613 2.478e+03
0.360 -1.159 65.613 2.478e+03
0.388 -1.122 66.822 2.487e+03
0.416 -1.056 66.106 2.471e+03
0.416 -1.056 66.106 2.471e+03
0.416 -1.056 66.106 2.471e+03
0.416 -1.056 66.106 2.471e+03
0.416 -1.056 66.106 2.471e+03
0.416 -1.056 66.106 2.471e+03
0.436 -1.099 64.724 2.427e+03
0.436 -1.099 64.724 2.427e+03
0.436 -1.099 64.724 2.427e+03
0.436 -1.099 64.724 2.427e+03
0.436 -1.099 64.724 2.427e+03
0.436 -1.099 64.724 2.427e+03
0.436 -1.099 64.724 2.427e+03
0.408 -1.124 65.600 2.449e+03
0.427 -1.129 63.080 2.440e+03
0.427 -1.129 63.080 2.440e+03
0.482 -1.102 62.701 2.402e+03
0.482 -1.102 62.701 2.402e+03
0.482 -1.102 62.701 2.402e+03
0.548 -1.075 61.309 2.389e+03
0.548 -1.075 61.309 2.389e+03
0.548 -1.075 61.309 2.389e+03
0.548 -1.075 61.309 2.389e+03
0.548 -1.075 61.309 2.389e+03
0.548 -1.075 61.309 2.389e+03
0.548 -1.075 61.309 2.389e+03
0.624 -1.048 59.978 2.387e+03
0.624 -1.048 59.978 2.387e+03
0.624 -1.048 59.978 2.387e+03
0.624 -1.048 59.978 2.387e+03
0.624 -1.048 59.978 2.387e+03
0.643 -0.982 60.819 2.389e+03
0.643 -0.982 60.819 2.389e+03
0.643 -0.982 60.819 2.389e+03
0.642 -0.906 60.131 2.385e+03
0.642 -0.906 60.131 2.385e+03
0.642 -0.906 60.131 2.385e+03
0.642 -0.906 60.131 2.385e+03
0.642 -0.906 60.131 2.385e+03
0.642 -0.906 60.131 2.385e+03
0.642 -0.906 60.131 2.385e+03
0.642 -0.906 60.131 2.385e+03
0.652 -0.859 59.032 2.391e+03
0.652 -0.859 59.032 2.391e+03
0.652 -0.859 59.032 2.391e+03
0.554 -0.758 60.337 2.379e+03
0.554 -0.758 60.337 2.379e+03
0.554 -0.758 60.337 2.379e+03
0.567 -0.665 61.262 2.408e+03
0.477 -0.695 61.183 2.379e+03
0.477 -0.695 61.183 2.379e+03
0.477 -0.695 61.183 2.379e+03
0.477 -0.695 61.183 2.379e+03
0.477 -0.695 61.183 2.379e+03
0.477 -0.695 61.183 2.379e+03
0.538 -0.546 60.409 2.394e+03
0.538 -0.546 60.409 2.394e+03
0.538 -0.546 60.409 2.394e+03
0.538 -0.546 60.409 2.394e+03
0.607 -0.643 60.819 2.415e+03
0.611 -0.602 59.806 2.395e+03
0.611 -0.602 59.806 2.395e+03
0.611 -0.602 59.806 2.395e+03
0.611 -0.602 59.806 2.395e+03
0.611 -0.602 59.806 2.395e+03
0.544 -0.511 58.508 2.394e+03
0.544 -0.511 58.508 2.394e+03
0.544 -0.511 58.508 2.394e+03
0.544 -0.511 58.508 2.394e+03
0.544 -0.511 58.508 2.394e+03
0.564 -0.512 58.819 2.389e+03
0.564 -0.512 58.819 2.389e+03
0.564 -0.512 58.819 2.389e+03
0.564 -0.512 58.819 2.389e+03
0.564 -0.512 58.819 2.389e+03
0.564 -0.512 58.819 2.389e+03
0.564 -0.512 58.819 2.389e+03
0.564 -0.512 58.819 2.389e+03
0.564 -0.512 58.819 2.389e+03
0.565 -0.579 59.940 2.388e+03
0.565 -0.579 59.940 2.388e+03
0.606 -0.643 58.810 2.390e+03
0.606 -0.643 58.810 2.390e+03
0.606 -0.643 58.810 2.390e+03
0.606 -0.643 58.810 2.390e+03
0.606 -0.643 58.810 2.390e+03
0.606 -0.643 58.810 2.390e+03
0.606 -0.643 58.810 2.390e+03
0.606 -0.643 58.810 2.390e+03
0.606 -0.643 58.810 2.390e+03
0.606 -0.643 58.810 2.390e+03
0.606 -0.643 58.810 2.390e+03
0.606 -0.643 58.810 2.390e+03
0.515 -0.651 59.669 2.383e+03
0.502 -0.567 59.290 2.385e+03
0.502 -0.567 59.290 2.385e+03
0.432 -0.574 59.400 2.397e+03
0.432 -0.574 59.400 2.397e+03
0.432 -0.574 59.400 2.397e+03
0.432 -0.574 59.400 2.397e+03
0.432 -0.574 59.400 2.397e+03
0.432 -0.574 59.400 2.397e+03
0.432 -0.574 59.400 2.397e+03
0.432 -0.574 59.400 2.397e+03
0.432 -0.574 59.400 2.397e+03
0.430 -0.457 59.782 2.379e+03
0.430 -0.457 59.782 2.379e+03
0.430 -0.457 59.782 2.379e+03
0.430 -0.457 59.782 2.379e+03
0.430 -0.457 59.782 2.379e+03
0.440 -0.458 58.233 2.410e+03
0.440 -0.458 58.233 2.410e+03
0.440 -0.458 58.233 2.410e+03
0.506 -0.509 58.885 2.388e+03
0.506 -0.509 58.885 2.388e+03
0.506 -0.509 58.885 2.388e+03
0.506 -0.509 58.885 2.388e+03
0.506 -0.509 58.885 2.388e+03
0.506 -0.509 58.885 2.388e+03
0.574 -0.543 58.754 2.390e+03
0.574 -0.543 58.754 2.390e+03
0.500 -0.477 58.595 2.392e+03
0.500 -0.477 58.595 2.392e+03
0.500 -0.477 58.595 2.392e+03
0.461 -0.486 60.092 2.381e+03
0.461 -0.486 60.092 2.381e+03
0.461 -0.486 60.092 2.381e+03
0.461 -0.486 60.092 2.381e+03
0.354 -0.460 60.545 2.376e+03
0.354 -0.460 60.545 2.376e+03
0.354 -0.460 60.545 2.376e+03
0.354 -0.460 60.545 2.376e+03
0.354 -0.460 60.545 2.376e+03
0.354 -0.460 60.545 2.376e+03
0.354 -0.460 60.545 2.376e+03
0.354 -0.460 60.545 2.376e+03
0.354 -0.460 60.545 2.376e+03
0.424 -0.478 60.929 2.388e+03
0.400 -0.477 59.603 2.381e+03
0.428 -0.525 59.846 2.380e+03
0.428 -0.525 59.846 2.380e+03
0.428 -0.525 59.846 2.380e+03
0.428 -0.525 59.846 2.380e+03
0.428 -0.525 59.846 2.380e+03
0.428 -0.525 59.846 2.380e+03
0.264 -0.469 60.334 2.389e+03
0.264 -0.469 60.334 2.389e+03
0.264 -0.469 60.334 2.389e+03
0.346 -0.547 61.110 2.379e+03
0.346 -0.547 61.110 2.379e+03
0.346 -0.547 61.110 2.379e+03
0.346 -0.547 61.110 2.379e+03
0.346 -0.547 61.110 2.379e+03
0.346 -0.547 61.110 2.379e+03
0.394 -0.365 60.375 2.397e+03
0.426 -0.439 60.037 2.381e+03
0.426 -0.439 60.037 2.381e+03
0.405 -0.418 59.840 2.380e+03
0.420 -0.387 59.553 2.384e+03
0.608 -0.336 57.686 2.412e+03
0.638 -0.328 58.106 2.418e+03
0.638 -0.328 58.106 2.418e+03
0.737 -0.276 56.909 2.438e+03
0.737 -0.276 56.909 2.438e+03
0.737 -0.276 56.909 2.438e+03
0.737 -0.276 56.909 2.438e+03
0.737 -0.276 56.909 2.438e+03
0.794 -0.254 57.277 2.452e+03
0.794 -0.254 57.277 2.452e+03
0.794 -0.254 57.277 2.452e+03
0.872 -0.177 56.749 2.467e+03
0.872 -0.177 56.749 2.467e+03
0.842 -0.214 56.296 2.460e+03
0.842 -0.214 56.296 2.460e+03
0.842 -0.214 56.296 2.460e+03
0.842 -0.214 56.296 2.460e+03
0.782 -0.093 55.694 2.474e+03
0.782 -0.093 55.694 2.474e+03
0.782 -0.093 55.694 2.474e+03
0.782 -0.093 55.694 2.474e+03
0.815 -0.004 55.888 2.481e+03
0.815 -0.004 55.888 2.481e+03
0.815 -0.004 55.888 2.481e+03
0.815 -0.004 55.888 2.481e+03
0.815 -0.004 55.888 2.481e+03
0.815 -0.004 55.888 2.481e+03
0.815 -0.004 55.888 2.481e+03
0.815 -0.004 55.888 2.481e+03
0.848 -0.134 55.064 2.493e+03
0.986 -0.151 56.181 2.479e+03
0.986 -0.151 56.181 2.479e+03
0.986 -0.151 56.181 2.479e+03
0.942 -0.130 55.463 2.484e+03
0.942 -0.130 55.463 2.484e+03
0.942 -0.130 55.463 2.484e+03
0.942 -0.130 55.463 2.484e+03
0.942 -0.130 55.463 2.484e+03
0.942 -0.130 55.463 2.484e+03
0.942 -0.130 55.463 2.484e+03
0.942 -0.130 55.463 2.484e+03
0.908 -0.198 56.183 2.469e+03
0.862 -0.202 56.614 2.463e+03
0.862 -0.202 56.614 2.463e+03
0.895 -0.134 55.120 2.492e+03
0.895 -0.134 55.120 2.492e+03
0.895 -0.134 55.120 2.492e+03
0.843 -0.114 55.837 2.472e+03
0.843 -0.114 55.837 2.472e+03
0.843 -0.114 55.837 2.472e+03
0.862 -0.099 55.487 2.481e+03
0.977 0.007 55.769 2.482e+03
0.977 0.007 55.769 2.482e+03
0.943 0.038 55.761 2.484e+03
0.943 0.038 55.761 2.484e+03
0.943 0.038 55.761 2.484e+03
0.943 0.038 55.761 2.484e+03
0.943 0.038 55.761 2.484e+03
0.943 0.038 55.761 2.484e+03
0.943 0.038 55.761 2.484e+03
0.943 0.038 55.761 2.484e+03
0.850 0.143 54.733 2.515e+03
0.850 0.143 54.733 2.515e+03
0.850 0.143 54.733 2.515e+03
0.850 0.143 54.733 2.515e+03
0.850 0.143 54.733 2.515e+03
0.850 0.143 54.733 2.515e+03
0.850 0.143 54.733 2.515e+03
0.850 0.143 54.733 2.515e+03
0.939 0.144 54.683 2.513e+03
0.942 0.101 54.667 2.513e+03
0.942 0.101 54.667 2.513e+03
0.887 -0.008 55.117 2.495e+03
0.861 -0.043 55.622 2.481e+03
0.861 -0.043 55.622 2.481e+03
