# acceptance rate 12.69
# Om   w   H0   chi2
0.282 -0.932 69.194 323.757
0.282 -0.932 69.194 323.757
0.282 -0.932 69.194 323.757
0.282 -0.932 69.194 323.757
0.282 -0.932 69.194 323.757
0.282 -0.932 69.194 323.757
0.282 -0.932 69.194 323.757
0.282 -0.932 69.194 323.757
0.296 -0.926 69.471 322.204
0.296 -0.926 69.471 322.204
0.311 -0.931 68.236 325.540
0.311 -0.931 68.236 325.540
0.311 -0.931 68.236 325.540
0.296 -0.959 68.520 323.423
0.288 -0.924 69.293 323.495
0.288 -0.924 69.293 323.495
0.293 -0.931 68.567 324.377
0.293 -0.931 68.567 324.377
0.293 -0.931 68.567 324.377
0.293 -0.931 68.567 324.377
0.296 -0.863 68.301 324.690
0.296 -0.863 68.301 324.690
0.296 -0.863 68.301 324.690
0.296 -0.863 68.301 324.690
0.296 -0.863 68.301 324.690
0.296 -0.863 68.301 324.690
0.296 -0.863 68.301 324.690
0.296 -0.863 68.301 324.690
0.296 -0.863 68.301 324.690
0.319 -0.818 66.758 326.760
0.319 -0.818 66.758 326.760
0.319 -0.818 66.758 326.760
0.319 -0.818 66.758 326.760
0.319 -0.818 66.758 326.760
0.319 -0.818 66.758 326.760
0.319 -0.818 66.758 326.760
0.319 -0.818 66.758 326.760
0.319 -0.818 66.758 326.760
0.319 -0.818 66.758 326.760
0.319 -0.818 66.758 326.760
0.319 -0.818 66.758 326.760
0.439 -0.900 64.305 326.699
0.426 -0.887 64.421 326.488
0.362 -0.812 66.376 325.888
0.362 -0.812 66.376 325.888
0.362 -0.812 66.376 325.888
0.362 -0.812 66.376 325.888
0.362 -0.812 66.376 325.888
0.362 -0.812 66.376 325.888
0.361 -0.841 66.806 325.338
0.361 -0.841 66.806 325.338
0.400 -0.836 65.267 327.862
0.366 -0.831 65.768 327.664
0.366 -0.831 65.768 327.664
0.366 -0.831 65.768 327.664
0.366 -0.831 65.768 327.664
0.366 -0.831 65.768 327.664
0.366 -0.831 65.768 327.664
0.366 -0.831 65.768 327.664
0.366 -0.831 65.768 327.664
0.378 -0.788 65.490 327.218
0.378 -0.788 65.490 327.218
0.378 -0.788 65.490 327.218
0.378 -0.788 65.490 327.218
0.378 -0.788 65.490 327.218
0.378 -0.788 65.490 327.218
0.378 -0.788 65.490 327.218
0.421 -0.823 64.066 326.689
0.421 -0.823 64.066 326.689
0.421 -0.823 64.066 326.689
0.425 -0.710 64.058 325.707
0.442 -0.787 63.913 327.463
0.442 -0.787 63.913 327.463
0.442 -0.787 63.913 327.463
0.401 -0.741 64.469 327.254
0.401 -0.741 64.469 327.254
0.401 -0.741 64.469 327.254
0.401 -0.741 64.469 327.254
0.401 -0.741 64.469 327.254
0.401 -0.741 64.469 327.254
0.404 -0.762 63.993 327.102
0.404 -0.762 63.993 327.102
0.404 -0.762 63.993 327.102
0.412 -0.793 64.434 327.740
0.412 -0.793 64.434 327.740
0.412 -0.793 64.434 327.740
0.396 -0.890 65.622 327.978
0.396 -0.890 65.622 327.978
0.381 -0.807 65.018 327.586
0.407 -0.849 65.387 327.711
0.407 -0.849 65.387 327.711
0.357 -0.907 66.871 327.369
0.357 -0.907 66.871 327.369
0.357 -0.907 66.871 327.369
0.357 -0.907 66.871 327.369
