# acceptance rate 0.44
# Om   w   H0
0.772 -0.451 56.017
0.772 -0.451 56.017
0.867 -0.500 55.689
0.911 -0.619 55.641
0.911 -0.619 55.641
0.911 -0.619 55.641
0.911 -0.619 55.641
0.911 -0.619 55.641
0.911 -0.619 55.641
0.911 -0.619 55.641
0.911 -0.619 55.641
0.883 -0.149 55.335
0.830 0.453 54.726
0.830 0.453 54.726
0.874 0.507 54.587
0.874 0.507 54.587
0.874 0.507 54.587
0.874 0.507 54.587
0.874 0.507 54.587
0.874 0.507 54.587
0.874 0.507 54.587
0.874 0.507 54.587
0.874 0.507 54.587
0.884 0.394 54.787
0.884 0.394 54.787
0.884 0.394 54.787
0.829 0.367 54.715
0.845 0.220 54.849
0.845 0.220 54.849
0.845 0.220 54.849
0.845 0.220 54.849
0.845 0.220 54.849
0.845 0.220 54.849
0.845 0.220 54.849
0.845 0.220 54.849
0.845 0.220 54.849
0.845 0.220 54.849
0.845 0.220 54.849
0.845 0.220 54.849
0.845 0.220 54.849
0.845 0.220 54.849
0.845 0.220 54.849
0.791 0.186 54.958
0.791 0.186 54.958
0.791 0.186 54.958
0.791 0.186 54.958
0.743 0.167 54.992
0.691 0.182 54.861
0.675 0.233 54.302
0.774 0.285 54.163
0.774 0.285 54.163
0.744 0.274 54.148
0.649 0.256 54.063
0.559 0.235 54.011
0.569 0.206 54.272
0.605 0.203 54.414
0.605 0.203 54.414
0.605 0.203 54.414
0.605 0.201 54.425
0.601 0.189 54.524
0.637 0.192 54.610
0.560 0.187 54.352
0.515 0.167 54.367
0.515 0.167 54.367
0.566 0.148 54.765
0.566 0.148 54.765
0.566 0.148 54.765
0.398 0.140 54.391
0.362 0.151 54.187
0.384 0.150 54.261
0.384 0.150 54.261
0.323 0.166 53.794
0.312 0.168 53.751
0.312 0.168 53.751
0.312 0.168 53.751
0.312 0.168 53.751
0.312 0.168 53.751
0.307 0.181 53.733
0.307 0.181 53.733
0.301 0.186 53.658
0.298 0.188 53.638
0.306 0.200 53.554
0.277 0.201 53.453
0.277 0.201 53.453
0.182 0.155 53.904
0.182 0.155 53.904
0.275 0.179 53.883
0.144 0.142 53.985
0.149 0.148 53.955
0.176 0.133 54.021
0.176 0.133 54.021
0.113 0.160 53.622
0.113 0.160 53.622
0.113 0.160 53.622
0.114 0.171 53.625
0.114 0.171 53.625
0.114 0.171 53.625
0.114 0.171 53.625
0.113 0.169 53.622
0.083 0.133 53.945
0.083 0.133 53.945
0.093 0.128 53.979
0.093 0.128 53.979
0.096 0.127 53.986
0.197 0.145 53.833
0.116 0.137 53.776
0.116 0.137 53.776
0.116 0.137 53.776
0.116 0.137 53.776
0.083 0.137 53.716
0.083 0.137 53.716
0.083 0.137 53.716
0.083 0.137 53.716
0.075 0.132 53.746
0.075 0.132 53.746
0.075 0.132 53.746
0.075 0.132 53.746
0.085 0.136 53.686
0.085 0.136 53.686
0.085 0.136 53.686
0.068 0.151 53.439
0.068 0.151 53.439
0.068 0.151 53.439
0.065 0.152 53.422
0.065 0.152 53.422
0.065 0.152 53.422
0.065 0.152 53.422
0.065 0.152 53.422
0.034 0.174 52.939
0.084 0.149 53.344
0.164 0.141 53.714
0.164 0.141 53.714
0.164 0.141 53.714
0.164 0.141 53.714
0.164 0.141 53.714
0.164 0.141 53.714
0.221 0.152 53.687
0.224 0.130 54.060
0.224 0.130 54.060
0.158 0.111 54.148
0.165 0.113 54.146
0.165 0.113 54.146
0.164 0.089 54.410
0.165 0.088 54.421
0.168 0.089 54.423
0.235 0.101 54.398
0.237 0.101 54.401
0.211 0.104 54.325
0.230 0.106 54.349
0.203 0.107 54.303
0.203 0.107 54.303
0.157 0.095 54.322
0.155 0.094 54.332
0.161 0.101 54.274
0.161 0.101 54.274
0.161 0.101 54.274
0.161 0.101 54.274
0.216 0.115 54.259
0.213 0.121 54.210
0.134 0.095 54.448
0.127 0.099 54.412
0.165 0.105 54.448
0.235 0.112 54.552
0.178 0.106 54.467
0.178 0.106 54.467
0.329 0.116 54.585
0.329 0.116 54.585
0.454 0.127 54.600
0.451 0.114 54.709
0.473 0.112 54.791
0.473 0.112 54.791
0.473 0.112 54.791
0.473 0.112 54.791
0.473 0.112 54.791
0.473 0.112 54.791
0.426 0.112 54.679
0.426 0.112 54.679
0.426 0.112 54.679
0.431 0.109 54.723
0.442 0.100 54.850
0.419 0.090 54.838
0.385 0.099 54.709
0.385 0.099 54.709
0.385 0.099 54.709
0.267 0.069 54.774
0.267 0.069 54.774
0.267 0.069 54.774
0.267 0.069 54.774
0.267 0.069 54.774
0.267 0.069 54.774
0.267 0.069 54.774
0.267 0.069 54.774
0.252 0.073 54.701
0.254 0.074 54.695
0.254 0.074 54.695
0.252 0.074 54.690
0.252 0.074 54.690
0.252 0.074 54.690
0.240 0.070 54.706
0.244 0.087 54.548
0.285 0.097 54.566
0.287 0.105 54.533
0.287 0.105 54.533
0.233 0.089 54.508
0.189 0.111 54.110
0.145 0.101 54.027
0.179 0.099 54.016
0.179 0.099 54.016
0.069 0.135 53.738
0.069 0.135 53.738
0.069 0.135 53.738
0.069 0.135 53.738
0.040 0.136 53.670
0.147 0.127 54.011
0.145 0.129 53.934
0.145 0.129 53.934
0.145 0.129 53.934
0.145 0.129 53.934
0.116 0.129 53.997
0.116 0.129 53.997
0.200 0.122 54.178
0.200 0.122 54.178
0.108 0.103 54.193
0.108 0.103 54.193
0.108 0.103 54.193
0.108 0.103 54.193
0.111 0.101 54.263
0.068 0.100 54.170
0.068 0.100 54.170
0.068 0.100 54.170
0.054 0.094 54.198
0.054 0.094 54.198
0.054 0.094 54.198
0.054 0.094 54.198
0.054 0.094 54.198
0.054 0.094 54.198
0.054 0.094 54.198
0.054 0.094 54.198
0.054 0.094 54.198
0.002 0.081 54.241
0.002 0.081 54.241
0.002 0.081 54.241
0.002 0.081 54.241
0.002 0.081 54.241
0.002 0.081 54.241
0.002 0.081 54.241
0.055 0.089 54.207
0.055 0.089 54.207
0.055 0.089 54.207
0.060 0.091 54.197
0.060 0.091 54.197
0.060 0.091 54.197
0.060 0.091 54.197
0.060 0.091 54.197
0.053 0.086 54.273
0.053 0.086 54.273
0.053 0.086 54.273
0.053 0.086 54.273
0.053 0.086 54.273
0.053 0.086 54.273
0.053 0.086 54.273
0.052 0.078 54.356
0.042 0.075 54.365
0.042 0.075 54.365
0.042 0.075 54.365
0.042 0.075 54.365
0.062 0.079 54.371
0.062 0.079 54.371
0.064 0.074 54.477
0.064 0.074 54.477
0.064 0.074 54.477
0.064 0.074 54.477
0.064 0.074 54.477
0.052 0.082 54.341
0.077 0.095 54.284
0.108 0.078 54.669
0.108 0.078 54.669
