# acceptance rate 0.41
# Om   w   H0
0.373 -0.241 57.863
0.373 -0.241 57.863
0.373 -0.241 57.863
0.373 -0.241 57.863
0.373 -0.241 57.863
0.381 -0.231 57.735
0.381 -0.231 57.735
0.381 -0.231 57.735
0.381 -0.231 57.735
0.381 -0.231 57.735
0.374 -0.222 57.698
0.373 -0.231 57.734
0.373 -0.231 57.734
0.373 -0.231 57.734
0.373 -0.231 57.734
0.373 -0.231 57.734
0.373 -0.231 57.734
0.373 -0.230 57.731
0.373 -0.230 57.731
0.373 -0.230 57.731
0.373 -0.230 57.731
0.370 -0.224 57.718
0.370 -0.224 57.718
0.287 -0.213 57.863
0.287 -0.213 57.863
0.287 -0.213 57.863
0.373 -0.271 58.050
0.378 -0.273 58.053
0.301 -0.172 57.860
0.301 -0.172 57.860
0.301 -0.172 57.860
0.301 -0.172 57.860
0.400 -0.325 58.139
0.433 -0.313 57.910
0.615 -0.442 58.793
0.615 -0.442 58.793
0.615 -0.442 58.793
0.615 -0.442 58.793
0.615 -0.442 58.793
0.615 -0.442 58.793
0.618 -0.421 58.777
0.618 -0.421 58.777
0.616 -0.404 58.756
0.564 -0.375 58.278
0.564 -0.375 58.278
0.553 -0.370 58.323
0.509 -0.339 58.220
0.588 -0.468 58.245
0.588 -0.468 58.245
0.588 -0.468 58.245
0.588 -0.468 58.245
0.588 -0.468 58.245
0.588 -0.468 58.245
0.588 -0.468 58.245
0.588 -0.468 58.245
0.770 -0.588 57.374
0.804 -0.618 57.351
0.723 -0.548 57.360
0.685 -0.560 57.562
0.685 -0.560 57.562
0.685 -0.560 57.562
0.706 -0.717 57.976
0.675 -0.550 57.980
0.657 -0.466 57.890
0.653 -0.444 57.888
0.711 -0.475 57.573
0.697 -0.460 57.701
0.552 -0.398 57.999
0.552 -0.398 57.999
0.637 -0.617 58.263
0.637 -0.617 58.263
0.637 -0.617 58.263
0.561 -0.371 58.552
0.561 -0.371 58.552
0.568 -0.372 58.506
0.569 -0.327 57.956
0.584 -0.286 57.672
0.584 -0.286 57.672
0.584 -0.286 57.672
0.584 -0.286 57.672
0.584 -0.286 57.672
0.586 -0.286 57.661
0.586 -0.286 57.661
0.476 -0.236 57.512
0.538 -0.255 57.569
0.533 -0.238 57.533
0.533 -0.238 57.533
0.533 -0.238 57.533
0.543 -0.272 57.627
0.543 -0.272 57.627
0.543 -0.272 57.627
0.543 -0.272 57.627
0.480 -0.217 57.589
0.480 -0.217 57.589
0.480 -0.217 57.589
0.481 -0.220 57.597
0.481 -0.220 57.597
0.463 -0.238 57.736
0.488 -0.248 57.811
0.605 -0.328 57.533
0.605 -0.328 57.533
0.600 -0.201 56.909
0.600 -0.201 56.909
0.600 -0.201 56.909
0.600 -0.201 56.909
0.641 -0.376 57.127
0.641 -0.376 57.127
0.633 -0.346 57.108
0.653 -0.357 57.054
0.653 -0.357 57.054
0.653 -0.357 57.054
0.653 -0.357 57.054
0.653 -0.357 57.054
0.556 -0.238 57.380
0.610 -0.251 57.087
0.610 -0.251 57.087
0.637 -0.260 57.030
0.637 -0.260 57.030
0.695 -0.451 56.984
0.695 -0.451 56.984
0.706 -0.496 57.175
0.706 -0.496 57.175
0.706 -0.496 57.175
0.701 -0.622 58.081
0.701 -0.622 58.081
0.703 -0.608 57.915
0.742 -0.651 57.952
0.742 -0.655 57.945
0.743 -0.697 57.856
0.743 -0.697 57.856
0.743 -0.697 57.856
0.745 -0.723 57.878
0.745 -0.723 57.878
0.704 -0.672 58.366
0.704 -0.672 58.366
0.704 -0.672 58.366
0.716 -0.688 58.312
0.716 -0.688 58.312
0.716 -0.688 58.312
0.684 -0.657 58.274
0.698 -0.686 58.359
0.648 -0.575 58.449
0.648 -0.575 58.449
0.648 -0.575 58.449
0.648 -0.575 58.449
0.656 -0.568 58.332
0.652 -0.555 58.400
0.652 -0.555 58.400
0.652 -0.555 58.400
0.652 -0.555 58.400
0.663 -0.595 58.396
0.641 -0.540 58.277
0.641 -0.540 58.277
0.730 -0.616 57.981
0.730 -0.616 57.981
0.730 -0.616 57.981
0.730 -0.616 57.981
0.730 -0.616 57.981
0.738 -0.679 57.962
0.738 -0.679 57.962
0.738 -0.679 57.962
0.743 -0.671 58.217
0.743 -0.671 58.217
0.781 -0.975 58.240
0.783 -0.987 58.270
0.785 -1.051 58.484
0.785 -1.051 58.484
0.785 -1.051 58.484
0.777 -1.033 58.664
0.780 -1.043 58.639
0.736 -0.948 58.684
0.736 -0.948 58.684
0.736 -0.948 58.684
0.741 -0.992 58.791
0.743 -0.809 58.190
0.794 -1.318 57.962
0.794 -1.318 57.962
0.806 -1.402 57.929
0.806 -1.402 57.929
0.800 -1.491 57.940
0.800 -1.491 57.940
0.802 -1.397 57.842
0.810 -1.419 57.736
0.807 -1.346 57.741
0.807 -1.370 57.760
0.807 -1.370 57.760
0.807 -1.370 57.760
0.902 -1.999 57.422
0.902 -1.999 57.422
0.902 -1.999 57.422
0.902 -1.999 57.422
0.895 -1.967 57.450
0.890 -1.932 57.469
0.807 -1.480 57.863
0.805 -1.486 57.869
0.843 -2.057 58.272
0.843 -2.057 58.272
0.838 -1.943 58.386
0.837 -1.926 58.377
0.809 -1.621 58.990
0.809 -1.621 58.990
0.809 -1.621 58.990
0.809 -1.621 58.990
0.784 -1.239 58.529
0.784 -1.239 58.529
0.784 -1.239 58.529
0.784 -1.109 58.357
0.793 -1.145 58.326
0.793 -1.145 58.326
0.793 -1.145 58.326
0.793 -1.145 58.326
0.745 -1.079 58.358
0.741 -1.020 58.296
0.741 -1.020 58.296
0.741 -1.020 58.296
0.741 -1.020 58.296
0.749 -1.057 58.353
0.749 -1.057 58.353
0.739 -0.996 58.356
0.790 -1.136 58.417
0.790 -1.136 58.417
0.790 -1.136 58.417
0.790 -1.136 58.417
0.790 -1.136 58.417
0.772 -1.046 58.420
0.783 -1.128 58.589
0.783 -1.128 58.589
0.762 -1.026 58.456
0.762 -1.026 58.456
0.762 -1.026 58.456
0.762 -1.026 58.456
0.777 -1.151 58.711
0.784 -1.209 58.799
0.784 -1.209 58.799
0.792 -1.265 58.863
0.792 -1.265 58.863
0.806 -1.377 59.033
0.806 -1.377 59.033
0.806 -1.429 58.782
0.806 -1.429 58.782
0.800 -1.401 58.783
0.800 -1.401 58.783
0.733 -1.077 58.442
0.733 -1.075 58.438
0.733 -1.075 58.438
0.733 -1.075 58.438
0.733 -1.075 58.438
0.753 -1.191 58.151
0.747 -0.904 57.767
0.747 -0.904 57.767
0.764 -1.024 57.770
0.747 -0.723 57.404
0.747 -0.723 57.404
0.746 -0.654 57.350
0.756 -0.646 57.182
0.756 -0.646 57.182
0.755 -0.646 57.207
0.755 -0.646 57.207
0.755 -0.646 57.207
0.717 -0.586 57.562
0.717 -0.586 57.562
0.717 -0.586 57.562
0.717 -0.586 57.562
0.717 -0.586 57.562
0.754 -0.566 57.176
0.750 -0.429 56.965
0.750 -0.429 56.965
0.753 -0.430 56.958
0.753 -0.430 56.958
0.753 -0.430 56.958
0.753 -0.430 56.958
0.753 -0.430 56.958
0.753 -0.430 56.958
0.737 -0.547 57.401
0.741 -0.545 57.359
0.741 -0.545 57.359
0.704 -0.504 57.413
0.704 -0.504 57.413
0.672 -0.483 57.567
0.672 -0.483 57.567
0.672 -0.483 57.567
0.672 -0.483 57.567
0.672 -0.483 57.567
0.590 -0.418 57.678
0.590 -0.418 57.678
0.577 -0.402 57.679
0.587 -0.423 57.733
0.587 -0.423 57.733
0.639 -0.498 58.040
0.644 -0.491 57.931
0.645 -0.503 57.945
0.645 -0.503 57.945
0.645 -0.503 57.945
0.645 -0.503 57.945
0.641 -0.521 58.009
0.649 -0.542 57.998
0.608 -0.496 58.214
0.608 -0.496 58.214
0.608 -0.496 58.214
0.582 -0.435 58.207
0.582 -0.435 58.207
0.582 -0.435 58.207
0.582 -0.435 58.207
0.604 -0.420 57.999
0.591 -0.412 58.079
0.591 -0.412 58.079
0.532 -0.349 58.573
0.532 -0.349 58.573
0.496 -0.295 58.061
0.576 -0.437 58.151
0.579 -0.441 58.166
0.491 -0.342 58.606
0.401 -0.288 58.112
0.401 -0.288 58.112
0.449 -0.309 58.062
0.468 -0.321 58.034
0.452 -0.350 58.266
0.452 -0.350 58.266
0.452 -0.350 58.266
0.513 -0.451 59.110
0.402 -0.412 59.533
0.396 -0.409 59.605
0.396 -0.409 59.605
0.396 -0.409 59.605
0.399 -0.392 59.389
0.399 -0.392 59.389
0.413 -0.443 59.764
0.436 -0.398 59.275
0.436 -0.398 59.275
0.436 -0.398 59.275
0.436 -0.398 59.275
0.435 -0.398 59.279
0.435 -0.398 59.279
0.435 -0.398 59.279
0.435 -0.398 59.279
0.337 -0.329 58.749
0.337 -0.329 58.749
0.327 -0.320 58.680
0.327 -0.321 58.690
0.327 -0.321 58.690
0.315 -0.309 58.728
0.315 -0.309 58.728
0.313 -0.304 58.693
0.313 -0.304 58.693
0.313 -0.304 58.693
0.313 -0.304 58.693
0.313 -0.304 58.693
0.313 -0.304 58.693
0.134 -0.206 58.845
0.134 -0.206 58.845
0.134 -0.206 58.845
0.134 -0.206 58.845
0.076 -0.184 59.086
0.164 -0.213 58.856
0.164 -0.213 58.856
0.292 -0.256 58.541
0.292 -0.256 58.541
0.292 -0.256 58.541
0.292 -0.256 58.541
0.292 -0.256 58.541
0.284 -0.249 58.557
0.277 -0.244 58.556
0.277 -0.244 58.556
0.277 -0.244 58.556
0.277 -0.244 58.556
0.314 -0.256 58.495
0.314 -0.256 58.495
0.314 -0.256 58.495
