# acceptance rate 0.42
# Om   w   H0
0.343 -0.346 59.625
0.324 -0.318 59.264
0.324 -0.318 59.264
0.324 -0.318 59.264
0.324 -0.318 59.264
0.324 -0.318 59.264
0.437 -0.304 58.411
0.437 -0.304 58.411
0.437 -0.304 58.411
0.437 -0.304 58.411
0.450 -0.358 58.475
0.450 -0.358 58.475
0.450 -0.358 58.475
0.450 -0.358 58.475
0.450 -0.358 58.475
0.450 -0.358 58.475
0.450 -0.358 58.475
0.450 -0.358 58.475
0.450 -0.358 58.475
0.450 -0.358 58.475
0.402 -0.321 58.535
0.402 -0.321 58.535
0.427 -0.382 58.748
0.427 -0.382 58.748
0.427 -0.382 58.748
0.427 -0.382 58.748
0.427 -0.382 58.748
0.427 -0.382 58.748
0.325 -0.261 58.940
0.325 -0.261 58.940
0.325 -0.261 58.940
0.355 -0.301 58.912
0.355 -0.301 58.912
0.355 -0.301 58.912
0.355 -0.301 58.912
0.355 -0.301 58.912
0.355 -0.301 58.912
0.402 -0.333 59.059
0.402 -0.333 59.059
0.402 -0.333 59.059
0.402 -0.333 59.059
0.323 -0.293 59.503
0.323 -0.293 59.503
0.323 -0.293 59.503
0.329 -0.297 59.379
0.329 -0.297 59.379
0.381 -0.356 59.181
0.381 -0.356 59.181
0.381 -0.356 59.181
0.381 -0.356 59.181
0.381 -0.356 59.181
0.381 -0.356 59.181
0.395 -0.341 59.007
0.385 -0.322 59.000
0.385 -0.322 59.000
0.385 -0.322 59.000
0.385 -0.322 59.000
0.385 -0.322 59.000
0.378 -0.315 59.028
0.378 -0.315 59.028
0.384 -0.315 58.987
0.384 -0.315 58.987
0.395 -0.336 59.248
0.484 -0.446 59.025
0.484 -0.446 59.025
0.422 -0.379 59.376
0.422 -0.379 59.376
0.422 -0.379 59.376
0.422 -0.379 59.376
0.422 -0.379 59.376
0.491 -0.421 58.941
0.473 -0.357 58.942
0.473 -0.357 58.942
0.473 -0.357 58.942
0.473 -0.357 58.942
0.470 -0.365 59.043
0.463 -0.360 59.071
0.463 -0.360 59.071
0.477 -0.303 58.344
0.477 -0.303 58.344
0.477 -0.303 58.344
0.477 -0.303 58.344
0.411 -0.231 58.228
0.440 -0.280 58.222
0.433 -0.268 58.224
0.433 -0.268 58.224
0.433 -0.268 58.224
0.486 -0.351 58.299
0.486 -0.351 58.299
0.486 -0.351 58.299
0.486 -0.351 58.299
0.486 -0.351 58.299
0.544 -0.363 58.009
0.544 -0.363 58.009
0.544 -0.363 58.009
0.544 -0.363 58.009
0.544 -0.363 58.009
0.544 -0.363 58.009
0.544 -0.363 58.009
0.607 -0.438 57.790
0.607 -0.438 57.790
0.607 -0.438 57.790
0.673 -0.529 57.698
