# acceptance rate 30.20
# Om   w   H0   chi2
0.255 -0.916 69.232 8.723e+02
0.255 -0.916 69.232 8.723e+02
0.255 -0.916 69.232 8.723e+02
0.255 -0.916 69.232 8.723e+02
0.255 -0.916 69.232 8.723e+02
0.255 -0.916 69.232 8.723e+02
0.283 -1.011 69.121 8.685e+02
0.283 -1.011 69.121 8.685e+02
0.283 -1.011 69.121 8.685e+02
0.283 -1.011 69.121 8.685e+02
0.283 -1.011 69.121 8.685e+02
0.321 -1.025 68.903 8.668e+02
0.303 -1.006 69.106 8.682e+02
0.303 -1.006 69.106 8.682e+02
0.322 -1.073 68.085 8.636e+02
0.322 -1.073 68.085 8.636e+02
0.354 -1.080 67.606 8.574e+02
0.400 -1.043 66.443 8.525e+02
0.400 -1.043 66.443 8.525e+02
0.400 -1.043 66.443 8.525e+02
0.400 -1.043 66.443 8.525e+02
0.384 -1.078 66.317 8.545e+02
0.384 -1.078 66.317 8.545e+02
0.384 -1.078 66.317 8.545e+02
0.377 -1.059 66.329 8.550e+02
0.377 -1.059 66.329 8.550e+02
0.434 -1.057 65.444 8.488e+02
0.449 -1.057 65.065 8.478e+02
0.449 -1.057 65.065 8.478e+02
0.449 -1.057 65.065 8.478e+02
0.449 -1.057 65.065 8.478e+02
0.449 -1.057 65.065 8.478e+02
0.449 -1.057 65.065 8.478e+02
0.486 -1.028 64.195 8.469e+02
0.486 -1.028 64.195 8.469e+02
0.486 -1.028 64.195 8.469e+02
0.486 -1.028 64.195 8.469e+02
0.476 -1.123 63.970 8.504e+02
0.476 -1.123 63.970 8.504e+02
0.476 -1.123 63.970 8.504e+02
0.476 -1.123 63.970 8.504e+02
0.476 -1.123 63.970 8.504e+02
0.476 -1.123 63.970 8.504e+02
0.476 -1.123 63.970 8.504e+02
0.476 -1.123 63.970 8.504e+02
0.456 -1.162 64.725 8.516e+02
0.456 -1.162 64.725 8.516e+02
0.499 -1.127 63.499 8.488e+02
0.502 -1.157 63.685 8.480e+02
0.502 -1.157 63.685 8.480e+02
0.502 -1.157 63.685 8.480e+02
0.549 -1.131 62.557 8.464e+02
0.549 -1.131 62.557 8.464e+02
0.625 -1.121 61.829 8.473e+02
0.625 -1.121 61.829 8.473e+02
0.625 -1.121 61.829 8.473e+02
0.625 -1.121 61.829 8.473e+02
0.636 -1.134 60.701 8.478e+02
0.636 -1.134 60.701 8.478e+02
0.636 -1.134 60.701 8.478e+02
0.636 -1.134 60.701 8.478e+02
0.668 -1.102 60.644 8.471e+02
0.685 -1.083 60.256 8.479e+02
0.685 -1.083 60.256 8.479e+02
0.685 -1.083 60.256 8.479e+02
0.682 -1.086 60.051 8.476e+02
0.651 -1.081 60.970 8.469e+02
0.651 -1.081 60.970 8.469e+02
0.651 -1.081 60.970 8.469e+02
0.651 -1.081 60.970 8.469e+02
0.673 -1.073 60.355 8.472e+02
0.673 -1.073 60.355 8.472e+02
0.672 -1.091 60.746 8.484e+02
0.672 -1.091 60.746 8.484e+02
0.608 -1.039 61.135 8.459e+02
0.608 -1.039 61.135 8.459e+02
0.629 -1.017 60.975 8.461e+02
0.639 -1.083 60.710 8.465e+02
0.639 -1.083 60.710 8.465e+02
0.639 -1.083 60.710 8.465e+02
0.639 -1.083 60.710 8.465e+02
0.627 -1.085 60.934 8.462e+02
0.627 -1.085 60.934 8.462e+02
0.627 -1.085 60.934 8.462e+02
0.618 -1.050 61.477 8.461e+02
0.618 -1.050 61.477 8.461e+02
0.618 -1.050 61.477 8.461e+02
0.618 -1.050 61.477 8.461e+02
0.618 -1.050 61.477 8.461e+02
0.618 -1.050 61.477 8.461e+02
0.618 -1.050 61.477 8.461e+02
0.618 -1.050 61.477 8.461e+02
0.639 -1.049 61.022 8.465e+02
0.639 -1.049 61.022 8.465e+02
