# acceptance rate 6.08
# Om   w   H0   chi2
0.321 -0.947 68.223 -652.112
0.346 -0.966 66.301 -651.913
0.346 -0.966 66.301 -651.913
0.346 -0.966 66.301 -651.913
0.226 -0.918 69.041 -649.568
0.226 -0.918 69.041 -649.568
0.226 -0.918 69.041 -649.568
0.226 -0.918 69.041 -649.568
0.226 -0.918 69.041 -649.568
0.226 -0.918 69.041 -649.568
0.317 -1.030 68.990 -649.048
0.317 -1.030 68.990 -649.048
0.317 -1.030 68.990 -649.048
0.317 -1.030 68.990 -649.048
0.317 -1.030 68.990 -649.048
0.317 -1.030 68.990 -649.048
0.317 -1.030 68.990 -649.048
0.317 -1.030 68.990 -649.048
0.317 -1.030 68.990 -649.048
0.317 -1.030 68.990 -649.048
0.317 -1.030 68.990 -649.048
0.325 -1.047 68.297 -642.934
0.325 -1.047 68.297 -642.934
0.325 -1.047 68.297 -642.934
0.325 -1.047 68.297 -642.934
0.325 -1.047 68.297 -642.934
0.338 -1.060 68.097 -642.945
0.338 -1.060 68.097 -642.945
0.338 -1.060 68.097 -642.945
0.338 -1.060 68.097 -642.945
0.338 -1.060 68.097 -642.945
0.338 -1.060 68.097 -642.945
0.338 -1.060 68.097 -642.945
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.346 -1.142 68.664 -642.978
0.334 -1.039 67.385 -646.543
0.334 -1.039 67.385 -646.543
0.334 -1.039 67.385 -646.543
0.334 -1.039 67.385 -646.543
0.334 -1.039 67.385 -646.543
0.334 -1.039 67.385 -646.543
0.334 -1.039 67.385 -646.543
0.353 -1.062 67.589 -643.647
0.353 -1.062 67.589 -643.647
0.353 -1.062 67.589 -643.647
0.353 -1.062 67.589 -643.647
0.353 -1.062 67.589 -643.647
0.353 -1.062 67.589 -643.647
0.353 -1.062 67.589 -643.647
0.353 -1.062 67.589 -643.647
0.353 -1.062 67.589 -643.647
0.353 -1.062 67.589 -643.647
0.353 -1.062 67.589 -643.647
