# acceptance rate 12.69
# Om   w   H0   log_like
0.255 -0.921 67.998 -648.653
0.255 -0.921 67.998 -648.653
0.255 -0.921 67.998 -648.653
0.255 -0.921 67.998 -648.653
0.255 -0.921 67.998 -648.653
0.255 -0.921 67.998 -648.653
0.255 -0.921 67.998 -648.653
0.281 -0.915 67.960 -643.364
0.281 -0.915 67.960 -643.364
0.281 -0.915 67.960 -643.364
0.281 -0.915 67.960 -643.364
0.281 -0.915 67.960 -643.364
0.291 -0.901 67.510 -643.561
0.291 -0.901 67.510 -643.561
0.291 -0.901 67.510 -643.561
0.291 -0.901 67.510 -643.561
0.289 -0.911 67.859 -643.590
0.289 -0.911 67.859 -643.590
0.289 -0.911 67.859 -643.590
0.289 -0.911 67.859 -643.590
0.289 -0.911 67.859 -643.590
0.289 -0.911 67.859 -643.590
0.289 -0.911 67.859 -643.590
0.289 -0.911 67.859 -643.590
0.289 -0.911 67.859 -643.590
0.310 -0.975 68.040 -643.345
0.310 -0.975 68.040 -643.345
0.310 -0.975 68.040 -643.345
0.310 -0.975 68.040 -643.345
0.310 -0.975 68.040 -643.345
0.310 -0.975 68.040 -643.345
0.310 -0.975 68.040 -643.345
0.310 -0.975 68.040 -643.345
0.310 -0.975 68.040 -643.345
0.310 -0.975 68.040 -643.345
0.310 -0.975 68.040 -643.345
0.310 -0.975 68.040 -643.345
0.310 -0.975 68.040 -643.345
0.348 -1.015 67.259 -644.449
0.348 -1.015 67.259 -644.449
0.348 -1.015 67.259 -644.449
0.345 -1.037 67.950 -644.373
0.345 -1.037 67.950 -644.373
0.345 -1.037 67.950 -644.373
0.345 -1.037 67.950 -644.373
0.345 -1.037 67.950 -644.373
0.345 -1.037 67.950 -644.373
0.345 -1.037 67.950 -644.373
0.345 -1.037 67.950 -644.373
0.345 -1.037 67.950 -644.373
0.345 -1.037 67.950 -644.373
0.345 -1.037 67.950 -644.373
0.345 -1.037 67.950 -644.373
0.327 -1.049 68.218 -642.860
0.327 -1.049 68.218 -642.860
0.327 -1.049 68.218 -642.860
0.327 -1.049 68.218 -642.860
0.327 -1.049 68.218 -642.860
0.327 -1.049 68.218 -642.860
0.327 -1.049 68.218 -642.860
0.327 -1.049 68.218 -642.860
0.327 -1.049 68.218 -642.860
0.327 -1.049 68.218 -642.860
0.327 -1.049 68.218 -642.860
0.327 -1.049 68.218 -642.860
