# acceptance rate 0.51
# Om   w   H0
0.294 -0.830 66.876
0.294 -0.830 66.876
0.298 -0.861 67.070
0.297 -0.851 66.992
0.304 -0.898 67.251
0.303 -0.879 67.062
0.303 -0.879 67.062
0.316 -0.957 67.708
0.318 -0.962 67.704
0.318 -0.962 67.704
0.336 -1.030 68.091
0.333 -1.029 68.143
0.333 -1.029 68.143
0.336 -1.041 68.121
0.336 -1.041 68.120
0.359 -1.131 68.129
0.359 -1.131 68.129
0.359 -1.131 68.129
0.359 -1.131 68.129
0.362 -1.184 68.493
0.337 -1.102 68.205
0.337 -1.102 68.205
0.337 -1.102 68.205
0.310 -0.982 67.902
0.309 -0.981 67.907
0.309 -0.981 67.907
0.307 -0.941 67.630
0.305 -0.969 67.947
0.305 -0.969 67.947
0.314 -1.052 68.443
0.314 -1.052 68.443
0.314 -1.052 68.443
0.314 -1.052 68.443
0.314 -1.052 68.443
0.328 -1.083 68.559
0.331 -1.090 68.541
0.308 -1.010 68.541
0.292 -0.927 67.941
0.292 -0.927 67.941
0.291 -0.921 67.801
0.291 -0.921 67.801
0.291 -0.926 67.827
0.305 -0.945 67.905
0.305 -0.945 67.905
0.305 -0.945 67.905
0.305 -0.945 67.905
0.305 -0.945 67.905
0.333 -1.114 68.600
0.333 -1.114 68.600
0.303 -1.026 68.251
0.292 -0.982 67.972
0.325 -1.067 68.052
0.325 -1.067 68.052
0.322 -1.093 68.317
0.325 -1.047 67.987
0.325 -1.047 67.987
0.325 -1.045 67.984
0.323 -1.028 67.785
0.323 -1.028 67.785
0.374 -1.137 67.683
0.373 -1.121 67.566
0.396 -1.133 67.248
0.396 -1.133 67.248
0.396 -1.133 67.248
0.396 -1.133 67.248
0.396 -1.133 67.248
0.395 -1.132 67.277
0.395 -1.132 67.277
0.394 -1.130 67.278
0.394 -1.130 67.278
0.394 -1.130 67.278
0.409 -1.149 67.076
0.378 -1.081 67.202
0.379 -1.081 67.189
0.379 -1.081 67.189
0.379 -1.082 67.201
0.379 -1.082 67.201
0.386 -1.187 67.790
0.386 -1.187 67.790
0.386 -1.187 67.790
0.373 -1.150 67.745
0.373 -1.150 67.745
0.372 -1.098 67.431
0.366 -1.045 67.164
0.366 -1.045 67.164
0.366 -1.045 67.164
0.363 -1.016 66.983
0.363 -1.016 66.983
0.363 -1.016 66.983
0.363 -1.016 66.983
0.362 -1.079 67.531
0.362 -1.079 67.531
0.342 -0.981 67.274
0.342 -0.973 67.208
0.342 -0.973 67.208
0.353 -1.127 67.984
0.353 -1.127 67.984
0.350 -1.122 67.962
0.356 -1.157 68.097
0.351 -1.150 68.182
0.351 -1.150 68.182
0.358 -1.154 68.057
0.354 -1.148 68.117
0.355 -1.151 68.122
0.355 -1.151 68.122
0.334 -1.028 67.781
0.334 -1.028 67.781
0.334 -1.017 67.647
0.350 -1.026 67.289
0.369 -1.224 68.267
0.373 -1.300 68.362
0.373 -1.300 68.362
0.369 -1.293 68.537
0.358 -1.230 68.489
0.358 -1.230 68.489
0.384 -1.345 68.723
0.396 -1.405 68.589
0.396 -1.405 68.589
0.396 -1.405 68.589
0.382 -1.318 68.541
0.383 -1.326 68.562
0.400 -1.436 68.948
0.400 -1.436 68.948
0.400 -1.436 68.948
0.410 -1.461 68.773
0.417 -1.471 68.515
0.417 -1.471 68.515
0.385 -1.312 68.276
0.366 -1.229 68.243
0.407 -1.419 68.856
0.407 -1.419 68.856
0.408 -1.422 68.744
0.408 -1.422 68.744
0.403 -1.408 68.778
0.403 -1.408 68.778
0.403 -1.408 68.778
0.403 -1.408 68.778
0.403 -1.412 68.792
0.398 -1.388 68.724
0.385 -1.339 68.625
0.423 -1.557 68.767
0.423 -1.557 68.767
0.423 -1.557 68.767
0.423 -1.557 68.767
0.423 -1.557 68.767
0.441 -1.647 68.818
0.441 -1.647 68.818
0.441 -1.647 68.818
0.434 -1.615 68.856
0.426 -1.566 68.864
0.426 -1.566 68.864
0.426 -1.566 68.864
0.409 -1.450 68.573
0.409 -1.450 68.573
0.409 -1.450 68.573
0.409 -1.450 68.573
0.409 -1.450 68.573
0.399 -1.374 68.476
0.405 -1.419 68.533
0.407 -1.459 68.744
0.407 -1.459 68.744
0.407 -1.459 68.744
0.424 -1.510 68.611
0.424 -1.510 68.611
0.424 -1.510 68.611
0.416 -1.470 68.593
0.416 -1.470 68.593
0.416 -1.470 68.593
0.423 -1.547 68.793
0.413 -1.507 68.839
0.413 -1.504 68.859
