# acceptance rate 14.74
# Om   w   H0   chi2
0.298 -1.079 65.715 -19.347
0.298 -1.079 65.715 -19.347
0.298 -1.079 65.715 -19.347
0.331 -1.030 67.054 2.024
0.427 -1.117 66.888 6.789
0.555 -1.036 64.558 25.309
0.503 -1.086 63.877 57.242
0.466 -0.974 63.770 57.292
0.466 -0.974 63.770 57.292
0.466 -0.974 63.770 57.292
0.499 -0.999 61.865 66.745
0.499 -0.999 61.865 66.745
0.672 -1.066 61.536 66.989
0.672 -1.066 61.536 66.989
0.672 -1.066 61.536 66.989
0.672 -1.066 61.536 66.989
0.672 -1.066 61.536 66.989
0.672 -1.066 61.536 66.989
0.672 -1.066 61.536 66.989
0.596 -1.072 61.457 77.891
0.658 -1.137 60.659 81.133
0.658 -1.137 60.659 81.133
0.658 -1.137 60.659 81.133
0.642 -1.207 60.536 80.109
0.725 -1.319 59.567 82.165
0.725 -1.319 59.567 82.165
0.725 -1.319 59.567 82.165
0.754 -1.384 59.063 81.257
0.723 -1.336 60.235 80.950
0.723 -1.336 60.235 80.950
0.723 -1.336 60.235 80.950
0.723 -1.336 60.235 80.950
0.698 -1.375 60.663 80.939
0.698 -1.375 60.663 80.939
0.698 -1.375 60.663 80.939
0.760 -1.353 59.128 81.569
0.760 -1.353 59.128 81.569
0.760 -1.353 59.128 81.569
0.760 -1.353 59.128 81.569
0.760 -1.353 59.128 81.569
0.760 -1.353 59.128 81.569
0.760 -1.353 59.128 81.569
0.760 -1.353 59.128 81.569
0.760 -1.353 59.128 81.569
0.760 -1.353 59.128 81.569
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.760 -1.333 59.278 81.562
0.765 -1.238 58.907 81.173
0.689 -1.312 60.507 81.623
0.689 -1.312 60.507 81.623
0.689 -1.312 60.507 81.623
0.689 -1.312 60.507 81.623
0.683 -1.382 60.084 80.378
0.683 -1.382 60.084 80.378
0.683 -1.382 60.084 80.378
0.683 -1.382 60.084 80.378
0.683 -1.382 60.084 80.378
0.683 -1.382 60.084 80.378
0.683 -1.382 60.084 80.378
0.683 -1.382 60.084 80.378
0.683 -1.382 60.084 80.378
0.761 -1.472 59.335 81.732
0.761 -1.472 59.335 81.732
0.761 -1.472 59.335 81.732
0.761 -1.472 59.335 81.732
0.761 -1.472 59.335 81.732
0.761 -1.472 59.335 81.732
0.761 -1.472 59.335 81.732
0.761 -1.472 59.335 81.732
0.761 -1.472 59.335 81.732
0.761 -1.472 59.335 81.732
0.761 -1.472 59.335 81.732
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.733 -1.468 59.482 81.443
0.734 -1.569 59.699 81.675
0.734 -1.569 59.699 81.675
0.734 -1.569 59.699 81.675
0.734 -1.569 59.699 81.675
0.734 -1.569 59.699 81.675
0.714 -1.587 60.281 81.851
0.714 -1.587 60.281 81.851
0.735 -1.565 59.419 80.327
0.735 -1.565 59.419 80.327
0.735 -1.565 59.419 80.327
0.735 -1.565 59.419 80.327
0.735 -1.565 59.419 80.327
0.735 -1.565 59.419 80.327
