# acceptance rate 5.56
# Om   w   H0   chi2
0.253 -0.973 68.193 -956.782
0.253 -0.973 68.193 -956.782
0.253 -0.973 68.193 -956.782
0.253 -0.973 68.193 -956.782
0.253 -0.973 68.193 -956.782
0.253 -0.973 68.193 -956.782
0.253 -0.973 68.193 -956.782
0.253 -0.973 68.193 -956.782
0.253 -0.973 68.193 -956.782
0.238 -0.938 68.189 -956.735
0.238 -0.938 68.189 -956.735
0.238 -0.938 68.189 -956.735
0.238 -0.938 68.189 -956.735
0.238 -0.938 68.189 -956.735
0.238 -0.938 68.189 -956.735
0.238 -0.938 68.189 -956.735
0.238 -0.938 68.189 -956.735
0.238 -0.938 68.189 -956.735
0.268 -0.928 68.308 -946.133
0.268 -0.928 68.308 -946.133
0.268 -0.928 68.308 -946.133
0.268 -0.928 68.308 -946.133
0.268 -0.928 68.308 -946.133
0.268 -0.928 68.308 -946.133
0.268 -0.928 68.308 -946.133
0.268 -0.928 68.308 -946.133
0.268 -0.928 68.308 -946.133
0.268 -0.928 68.308 -946.133
0.268 -0.928 68.308 -946.133
0.268 -0.928 68.308 -946.133
0.268 -0.928 68.308 -946.133
0.268 -0.928 68.308 -946.133
0.268 -0.928 68.308 -946.133
0.268 -0.928 68.308 -946.133
0.268 -0.928 68.308 -946.133
0.268 -0.928 68.308 -946.133
0.312 -0.960 67.532 -942.912
0.312 -0.960 67.532 -942.912
0.312 -0.960 67.532 -942.912
0.312 -0.960 67.532 -942.912
0.312 -0.960 67.532 -942.912
0.312 -0.960 67.532 -942.912
0.312 -0.960 67.532 -942.912
0.333 -0.941 66.692 -942.518
0.333 -0.941 66.692 -942.518
0.333 -0.941 66.692 -942.518
0.329 -0.900 66.711 -943.725
0.329 -0.900 66.711 -943.725
0.329 -0.900 66.711 -943.725
0.329 -0.900 66.711 -943.725
0.329 -0.900 66.711 -943.725
0.329 -0.900 66.711 -943.725
0.329 -0.900 66.711 -943.725
0.329 -0.900 66.711 -943.725
0.329 -0.900 66.711 -943.725
0.329 -0.900 66.711 -943.725
0.329 -0.900 66.711 -943.725
0.329 -0.900 66.711 -943.725
0.329 -0.900 66.711 -943.725
0.329 -0.900 66.711 -943.725
0.329 -0.900 66.711 -943.725
0.329 -0.900 66.711 -943.725
0.362 -0.933 65.983 -945.094
0.362 -0.933 65.983 -945.094
0.362 -0.933 65.983 -945.094
0.362 -0.933 65.983 -945.094
0.362 -0.933 65.983 -945.094
0.362 -0.933 65.983 -945.094
0.362 -0.933 65.983 -945.094
0.317 -0.854 66.290 -942.898
0.317 -0.854 66.290 -942.898
0.317 -0.854 66.290 -942.898
0.317 -0.854 66.290 -942.898
0.317 -0.854 66.290 -942.898
0.317 -0.854 66.290 -942.898
0.317 -0.854 66.290 -942.898
0.317 -0.854 66.290 -942.898
0.286 -0.935 67.613 -943.364
0.286 -0.935 67.613 -943.364
0.286 -0.935 67.613 -943.364
0.286 -0.935 67.613 -943.364
0.286 -0.935 67.613 -943.364
0.286 -0.935 67.613 -943.364
0.318 -0.941 66.678 -943.762
0.318 -0.941 66.678 -943.762
0.318 -0.941 66.678 -943.762
0.318 -0.941 66.678 -943.762
0.318 -0.941 66.678 -943.762
0.361 -1.036 66.889 -943.227
0.370 -1.051 66.974 -943.762
0.370 -1.051 66.974 -943.762
0.370 -1.051 66.974 -943.762
0.370 -1.051 66.974 -943.762
0.370 -1.051 66.974 -943.762
0.370 -1.051 66.974 -943.762
0.370 -1.051 66.974 -943.762
0.370 -1.051 66.974 -943.762
0.370 -1.051 66.974 -943.762
0.370 -1.051 66.974 -943.762
0.370 -1.051 66.974 -943.762
0.380 -1.058 66.335 -945.850
0.380 -1.058 66.335 -945.850
0.380 -1.058 66.335 -945.850
0.380 -1.058 66.335 -945.850
0.380 -1.058 66.335 -945.850
0.380 -1.058 66.335 -945.850
0.380 -1.058 66.335 -945.850
0.380 -1.058 66.335 -945.850
0.380 -1.058 66.335 -945.850
0.380 -1.058 66.335 -945.850
0.380 -1.058 66.335 -945.850
0.394 -1.041 66.112 -946.280
0.394 -1.041 66.112 -946.280
0.394 -1.041 66.112 -946.280
0.394 -1.041 66.112 -946.280
0.394 -1.041 66.112 -946.280
0.394 -1.041 66.112 -946.280
0.394 -1.041 66.112 -946.280
0.394 -1.041 66.112 -946.280
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.325 -1.097 68.324 -945.472
0.386 -1.174 67.486 -944.251
0.386 -1.174 67.486 -944.251
0.386 -1.174 67.486 -944.251
0.386 -1.174 67.486 -944.251
0.386 -1.174 67.486 -944.251
0.386 -1.174 67.486 -944.251
0.386 -1.174 67.486 -944.251
0.386 -1.174 67.486 -944.251
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.372 -1.161 67.533 -944.140
0.371 -1.032 66.722 -943.857
0.371 -1.032 66.722 -943.857
0.371 -1.032 66.722 -943.857
0.371 -1.032 66.722 -943.857
0.371 -1.032 66.722 -943.857
0.371 -1.032 66.722 -943.857
0.371 -1.032 66.722 -943.857
0.371 -1.032 66.722 -943.857
0.371 -1.032 66.722 -943.857
0.371 -1.032 66.722 -943.857
0.371 -1.032 66.722 -943.857
0.371 -1.032 66.722 -943.857
0.371 -1.032 66.722 -943.857
0.381 -1.015 66.119 -945.712
0.381 -1.015 66.119 -945.712
0.381 -1.015 66.119 -945.712
0.381 -1.015 66.119 -945.712
