# acceptance rate 5.73
# Om   w   H0   chi2
0.277 -0.909 67.867 -534.749
0.304 -0.955 67.402 -535.367
0.304 -0.955 67.402 -535.367
0.304 -0.955 67.402 -535.367
0.304 -0.955 67.402 -535.367
0.304 -0.955 67.402 -535.367
0.304 -0.955 67.402 -535.367
0.304 -0.955 67.402 -535.367
0.304 -0.955 67.402 -535.367
0.304 -0.955 67.402 -535.367
0.280 -0.912 67.612 -534.534
0.280 -0.912 67.612 -534.534
0.276 -0.899 67.778 -534.838
0.276 -0.899 67.778 -534.838
0.276 -0.899 67.778 -534.838
0.276 -0.899 67.778 -534.838
0.276 -0.899 67.778 -534.838
0.276 -0.899 67.778 -534.838
0.276 -0.899 67.778 -534.838
0.276 -0.899 67.778 -534.838
0.276 -0.899 67.778 -534.838
0.276 -0.899 67.778 -534.838
0.276 -0.899 67.778 -534.838
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.234 -0.800 67.374 -534.344
0.210 -0.776 67.519 -534.199
0.210 -0.776 67.519 -534.199
0.210 -0.776 67.519 -534.199
0.210 -0.776 67.519 -534.199
0.210 -0.776 67.519 -534.199
0.210 -0.776 67.519 -534.199
0.210 -0.776 67.519 -534.199
0.210 -0.776 67.519 -534.199
0.210 -0.776 67.519 -534.199
0.210 -0.776 67.519 -534.199
0.210 -0.776 67.519 -534.199
0.210 -0.776 67.519 -534.199
0.210 -0.776 67.519 -534.199
0.210 -0.776 67.519 -534.199
0.210 -0.776 67.519 -534.199
0.210 -0.776 67.519 -534.199
0.150 -0.676 67.273 -534.375
0.150 -0.676 67.273 -534.375
0.150 -0.676 67.273 -534.375
0.150 -0.676 67.273 -534.375
0.150 -0.676 67.273 -534.375
0.150 -0.676 67.273 -534.375
0.150 -0.676 67.273 -534.375
0.150 -0.676 67.273 -534.375
0.150 -0.676 67.273 -534.375
0.150 -0.676 67.273 -534.375
0.150 -0.676 67.273 -534.375
0.150 -0.676 67.273 -534.375
0.150 -0.676 67.273 -534.375
0.150 -0.676 67.273 -534.375
0.150 -0.676 67.273 -534.375
0.150 -0.676 67.273 -534.375
0.150 -0.676 67.273 -534.375
0.150 -0.676 67.273 -534.375
0.150 -0.676 67.273 -534.375
0.084 -0.587 66.845 -534.610
0.084 -0.587 66.845 -534.610
0.084 -0.587 66.845 -534.610
0.084 -0.587 66.845 -534.610
0.084 -0.587 66.845 -534.610
0.084 -0.587 66.845 -534.610
0.084 -0.587 66.845 -534.610
0.084 -0.587 66.845 -534.610
0.084 -0.587 66.845 -534.610
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.061 -0.548 66.401 -535.265
0.068 -0.563 66.558 -534.924
0.068 -0.563 66.558 -534.924
0.068 -0.563 66.558 -534.924
0.068 -0.563 66.558 -534.924
0.068 -0.563 66.558 -534.924
0.068 -0.563 66.558 -534.924
0.114 -0.597 66.040 -538.183
0.114 -0.597 66.040 -538.183
0.114 -0.597 66.040 -538.183
0.114 -0.597 66.040 -538.183
0.114 -0.597 66.040 -538.183
0.114 -0.597 66.040 -538.183
0.114 -0.597 66.040 -538.183
0.114 -0.597 66.040 -538.183
0.114 -0.597 66.040 -538.183
0.114 -0.597 66.040 -538.183
0.114 -0.597 66.040 -538.183
0.114 -0.597 66.040 -538.183
0.114 -0.597 66.040 -538.183
0.114 -0.597 66.040 -538.183
0.114 -0.597 66.040 -538.183
0.114 -0.597 66.040 -538.183
0.114 -0.597 66.040 -538.183
0.154 -0.699 67.812 -535.923
0.154 -0.699 67.812 -535.923
0.154 -0.699 67.812 -535.923
0.154 -0.699 67.812 -535.923
0.154 -0.699 67.812 -535.923
0.154 -0.699 67.812 -535.923
0.154 -0.699 67.812 -535.923
0.154 -0.699 67.812 -535.923
0.154 -0.699 67.812 -535.923
0.154 -0.699 67.812 -535.923
0.154 -0.699 67.812 -535.923
0.154 -0.699 67.812 -535.923
0.154 -0.699 67.812 -535.923
